Regija,YearMonth,SO2,PM10,NO2
Podravska,2005-04,7.0,34.5,30.0
Goriška,2005-04,9.0,32.0,21.0
Savinjska,2005-04,9.222222222222221,29.333333333333332,6.5
Osrednjeslovenska,2005-04,4.5,28.0,13.5
Pomurska,2005-04,5.0,28.0,13.0
Koroška,2005-05,4.0,,
Pomurska,2005-05,4.0,23.0,9.0
Osrednjeslovenska,2005-05,2.5,25.0,10.5
Goriška,2005-05,7.0,29.0,21.0
Podravska,2005-05,5.0,32.0,32.0
Posavska,2005-05,33.0,21.0,
Savinjska,2005-05,5.875,25.666666666666668,13.2
Zasavska,2005-05,5.714285714285714,38.333333333333336,24.0
Pomurska,2005-06,2.0,26.0,12.0
Zasavska,2005-06,15.857142857142858,39.0,17.0
Savinjska,2005-06,7.375,24.666666666666668,10.6
Podravska,2005-06,4.0,29.0,28.0
Koroška,2005-06,6.0,,
Posavska,2005-06,17.0,21.0,
Osrednjeslovenska,2005-06,2.5,26.0,14.5
Goriška,2005-06,6.0,28.0,18.0
Zasavska,2005-07,19.714285714285715,39.0,14.5
Osrednjeslovenska,2005-07,4.0,26.0,12.5
Savinjska,2005-07,10.777777777777779,26.0,12.0
Podravska,2005-07,4.0,33.5,25.0
Koroška,2005-07,5.0,,
Goriška,2005-07,7.0,34.0,16.0
Pomurska,2005-07,4.0,25.0,10.0
Posavska,2005-07,16.0,22.0,
Osrednjeslovenska,2005-08,3.5,20.0,11.0
Koroška,2005-08,7.0,,
Pomurska,2005-08,4.0,22.0,10.0
Goriška,2005-08,4.0,26.0,13.0
Podravska,2005-08,4.0,28.0,24.0
Posavska,2005-08,10.0,18.0,
Zasavska,2005-08,20.571428571428573,30.666666666666668,13.5
Savinjska,2005-08,10.625,20.666666666666668,9.2
Pomurska,2005-09,2.0,28.0,11.0
Zasavska,2005-09,18.0,36.0,12.5
Podravska,2005-09,7.0,35.0,26.0
Savinjska,2005-09,12.625,27.666666666666668,11.0
Posavska,2005-09,14.5,26.0,
Koroška,2005-09,8.0,,
