Regija,YearMonth,SO2,PM10,NO2
Goriška,2017-01,,34.0,44.0
Gorenjska,2017-01,,52.0,
Obalno-kraška,2017-01,,25.0,13.0
Zasavska,2017-01,8.571428571428571,52.25,32.5
Savinjska,2017-01,5.222222222222222,58.166666666666664,24.166666666666668
Jugovzhodna Slovenija,2017-01,1.6,45.5,3.0
Podravska,2017-01,,65.8,34.5
Pomurska,2017-01,,73.0,21.0
Koroška,2017-01,6.0,47.0,
Posavska,2017-01,9.0,45.0,
Podravska,2017-02,,43.0,29.5
Obalno-kraška,2017-02,,29.0,22.0
Jugovzhodna Slovenija,2017-02,0.9,33.0,2.0
Savinjska,2017-02,4.777777777777778,36.166666666666664,19.0
Zasavska,2017-02,8.142857142857142,37.0,20.0
Pomurska,2017-02,,51.0,16.0
Koroška,2017-02,8.0,28.0,
Posavska,2017-02,7.0,37.0,
Osrednjeslovenska,2017-02,6.0,38.0,38.0
Gorenjska,2017-02,,36.0,
Goriška,2017-02,,27.75,42.0
Jugovzhodna Slovenija,2017-03,0.3,21.5,2.0
Obalno-kraška,2017-03,,24.0,23.0
Gorenjska,2017-03,,27.0,
Koroška,2017-03,6.0,22.0,
Podravska,2017-03,,26.2,22.5
Pomurska,2017-03,,27.0,
Savinjska,2017-03,4.555555555555555,28.0,18.333333333333332
Zasavska,2017-03,7.714285714285714,27.75,15.0
Posavska,2017-03,8.0,35.0,
Osrednjeslovenska,2017-03,5.333333333333333,29.0,39.333333333333336
Goriška,2017-03,,25.25,37.0
Goriška,2017-04,,16.0,26.0
Jugovzhodna Slovenija,2017-04,0.2,14.0,1.0
Obalno-kraška,2017-04,,18.0,15.0
Savinjska,2017-04,5.666666666666667,16.166666666666668,13.833333333333334
Zasavska,2017-04,6.857142857142857,17.0,16.0
Pomurska,2017-04,,17.0,19.0
Podravska,2017-04,,16.6,17.0
Koroška,2017-04,8.0,16.0,
Gorenjska,2017-04,,18.0,
Posavska,2017-04,8.0,28.0,
Osrednjeslovenska,2017-04,5.0,18.6,28.0
Savinjska,2017-05,4.777777777777778,14.333333333333334,12.166666666666666
Posavska,2017-05,6.0,21.0,
Obalno-kraška,2017-05,,14.0,15.0
Pomurska,2017-05,,15.0,25.0
Podravska,2017-05,,15.8,15.5
Zasavska,2017-05,6.714285714285714,15.5,12.333333333333334
Osrednjeslovenska,2017-05,4.333333333333333,17.0,27.333333333333332
Koroška,2017-05,8.0,15.0,
Goriška,2017-05,,14.0,20.0
Gorenjska,2017-05,,15.0,
Jugovzhodna Slovenija,2017-05,0.2,13.0,1.0
Posavska,2017-06,6.0,25.0,
Goriška,2017-06,,17.25,20.0
Jugovzhodna Slovenija,2017-06,0.4,14.5,1.0
Zasavska,2017-06,3.0,15.666666666666666,16.5
Osrednjeslovenska,2017-06,1.6666666666666667,20.2,28.333333333333332
Podravska,2017-06,,17.8,16.5
Obalno-kraška,2017-06,,16.0,16.0
Koroška,2017-06,7.0,17.0,
Gorenjska,2017-06,,15.0,
Savinjska,2017-06,4.888888888888889,15.5,9.166666666666666
Pomurska,2017-06,,16.0,26.0
Obalno-kraška,2017-07,,15.0,16.0
Pomurska,2017-07,,14.0,21.0
Zasavska,2017-07,3.3333333333333335,14.333333333333334,15.0
Osrednjeslovenska,2017-07,3.3333333333333335,19.2,25.666666666666668
Podravska,2017-07,,15.8,13.5
Savinjska,2017-07,4.111111111111111,12.833333333333334,11.5
Gorenjska,2017-07,,13.0,
Posavska,2017-07,6.0,24.0,
Goriška,2017-07,,15.5,18.0
Koroška,2017-07,8.0,14.0,
Jugovzhodna Slovenija,2017-07,0.4,13.0,1.0
Goriška,2017-08,,16.25,21.0
Posavska,2017-08,8.0,20.0,
Savinjska,2017-08,4.444444444444445,17.5,11.833333333333334
Gorenjska,2017-08,,17.0,
Obalno-kraška,2017-08,,19.0,15.0
Pomurska,2017-08,,16.0,18.0
Jugovzhodna Slovenija,2017-08,0.3,14.0,1.0
Zasavska,2017-08,3.6666666666666665,18.666666666666668,16.0
Podravska,2017-08,,16.8,14.0
Osrednjeslovenska,2017-08,3.0,21.0,26.666666666666668
Koroška,2017-08,9.0,16.0,
Pomurska,2017-09,,14.0,20.0
Savinjska,2017-09,3.3333333333333335,13.166666666666666,11.166666666666666
Gorenjska,2017-09,,13.0,
Jugovzhodna Slovenija,2017-09,0.2,11.0,1.0
Zasavska,2017-09,4.333333333333333,18.666666666666668,18.5
Obalno-kraška,2017-09,,12.0,11.0
Podravska,2017-09,,12.2,16.0
Goriška,2017-09,,12.5,23.0
Osrednjeslovenska,2017-09,3.3333333333333335,16.2,26.666666666666668
Posavska,2017-09,8.0,12.0,
Koroška,2017-09,6.0,14.0,
Pomurska,2017-10,,28.0,18.0
Jugovzhodna Slovenija,2017-10,0.1,18.0,1.0
Savinjska,2017-10,4.444444444444445,25.333333333333332,14.166666666666666
Zasavska,2017-10,3.3333333333333335,28.333333333333332,26.0
Gorenjska,2017-10,,25.0,
Posavska,2017-10,7.0,19.0,
Osrednjeslovenska,2017-10,4.0,25.4,34.333333333333336
Obalno-kraška,2017-10,,28.0,18.0
Podravska,2017-10,,22.0,21.0
Goriška,2017-10,,27.25,33.0
Koroška,2017-10,5.0,22.0,
Jugovzhodna Slovenija,2017-11,0.2,19.0,3.0
Obalno-kraška,2017-11,,17.0,20.0
Osrednjeslovenska,2017-11,3.6666666666666665,24.8,33.0
Zasavska,2017-11,4.0,29.0,28.0
Savinjska,2017-11,5.333333333333333,26.0,16.833333333333332
Goriška,2017-11,,22.0,37.0
Podravska,2017-11,,23.8,22.0
Posavska,2017-11,6.0,13.0,
Koroška,2017-11,5.0,24.0,
Pomurska,2017-11,,32.0,22.0
Gorenjska,2017-11,,28.0,
Savinjska,2017-12,5.777777777777778,25.5,19.666666666666668
Zasavska,2017-12,4.0,33.666666666666664,29.0
Gorenjska,2017-12,,35.0,
Pomurska,2017-12,,34.0,24.0
Podravska,2017-12,,23.4,23.0
Obalno-kraška,2017-12,,21.0,27.0
Osrednjeslovenska,2017-12,4.666666666666667,34.2,40.666666666666664
Goriška,2017-12,,26.25,43.0
Jugovzhodna Slovenija,2017-12,0.1,19.0,3.0
Posavska,2017-12,5.0,11.0,
Koroška,2017-12,6.0,30.0,
Savinjska,2018-01,5.777777777777778,26.333333333333332,17.166666666666668
Gorenjska,2018-01,,24.0,
Pomurska,2018-01,,36.0,19.0
Jugovzhodna Slovenija,2018-01,,19.5,3.0
Zasavska,2018-01,3.3333333333333335,27.333333333333332,22.5
Goriška,2018-01,,29.0,39.0
Podravska,2018-01,,26.2,25.0
Osrednjeslovenska,2018-01,5.333333333333333,28.5,43.5
Obalno-kraška,2018-01,,24.0,24.0
Posavska,2018-01,6.0,15.0,
Koroška,2018-01,5.0,27.0,
Gorenjska,2018-02,,40.0,
Koroška,2018-02,6.0,27.0,
Goriška,2018-02,,19.0,27.0
Zasavska,2018-02,3.6666666666666665,33.0,28.5
Pomurska,2018-02,,40.5,17.0
Savinjska,2018-02,6.666666666666667,32.833333333333336,19.5
Obalno-kraška,2018-02,,16.0,17.0
Osrednjeslovenska,2018-02,6.0,33.5,49.5
Podravska,2018-02,,35.0,24.0
Jugovzhodna Slovenija,2018-02,,25.5,3.0
Posavska,2018-02,9.0,20.0,
Jugovzhodna Slovenija,2018-03,1.0,27.0,3.0
Goriška,2018-03,,23.25,22.0
Zasavska,2018-03,4.666666666666667,33.333333333333336,23.5
Pomurska,2018-03,,40.0,15.0
Koroška,2018-03,8.0,32.0,
Obalno-kraška,2018-03,,21.0,24.0
Savinjska,2018-03,6.0,33.166666666666664,17.166666666666668
Gorenjska,2018-03,,37.0,
Podravska,2018-03,,33.8,27.5
Posavska,2018-03,10.0,24.0,
Osrednjeslovenska,2018-03,2.5,32.2,47.0
Zasavska,2018-04,4.0,21.333333333333332,16.5
Savinjska,2018-04,4.111111111111111,20.5,10.166666666666666
Podravska,2018-04,,19.8,22.0
Pomurska,2018-04,,22.5,10.0
Jugovzhodna Slovenija,2018-04,1.0,17.0,2.0
Posavska,2018-04,10.0,19.0,
Osrednjeslovenska,2018-04,1.5,23.8,37.0
Goriška,2018-04,,19.75,23.0
Koroška,2018-04,6.0,23.0,
Gorenjska,2018-04,,21.0,
Obalno-kraška,2018-04,,19.0,22.0
Osrednjeslovenska,2018-05,1.5,20.8,25.5
Savinjska,2018-05,5.222222222222222,18.166666666666668,8.166666666666666
Jugovzhodna Slovenija,2018-05,1.0,19.5,2.0
Podravska,2018-05,,19.4,14.0
Gorenjska,2018-05,,15.0,
Zasavska,2018-05,4.333333333333333,18.0,14.0
Posavska,2018-05,8.0,18.0,
Goriška,2018-05,,17.0,21.0
Pomurska,2018-05,,18.0,8.0
Obalno-kraška,2018-05,,17.0,15.0
Koroška,2018-05,3.0,20.0,
Zasavska,2018-06,3.6666666666666665,15.0,12.5
Koroška,2018-06,4.0,15.0,
Osrednjeslovenska,2018-06,1.0,18.2,20.5
Podravska,2018-06,,17.0,11.5
Jugovzhodna Slovenija,2018-06,1.0,14.0,1.0
Pomurska,2018-06,,14.5,6.0
Obalno-kraška,2018-06,,14.0,13.0
Posavska,2018-06,9.0,16.0,
Gorenjska,2018-06,,13.0,
Goriška,2018-06,,14.25,19.0
Savinjska,2018-06,5.666666666666667,15.166666666666666,7.833333333333333
Jugovzhodna Slovenija,2018-07,0.0,13.5,1.0
Podravska,2018-07,,16.8,10.0
Osrednjeslovenska,2018-07,1.5,18.6,17.0
Savinjska,2018-07,4.777777777777778,15.333333333333334,7.5
Goriška,2018-07,,14.25,20.0
Gorenjska,2018-07,,14.0,
Pomurska,2018-07,,15.5,7.0
Obalno-kraška,2018-07,,15.0,13.0
Zasavska,2018-07,2.6666666666666665,15.666666666666666,11.5
Koroška,2018-07,5.0,16.0,
Posavska,2018-07,1.0,16.0,
Goriška,2018-08,,14.5,19.0
Koroška,2018-08,5.0,18.0,
Pomurska,2018-08,,17.0,8.0
Zasavska,2018-08,3.6666666666666665,21.333333333333332,11.5
Jugovzhodna Slovenija,2018-08,1.0,15.0,1.0
Posavska,2018-08,3.0,20.0,
Podravska,2018-08,,18.2,9.5
Osrednjeslovenska,2018-08,1.0,21.2,19.0
Savinjska,2018-08,4.888888888888889,19.0,7.666666666666667
Gorenjska,2018-08,,17.0,
Obalno-kraška,2018-08,,17.0,14.0
Goriška,2018-09,,13.5,19.0
Podravska,2018-09,,14.6,8.0
Jugovzhodna Slovenija,2018-09,2.0,18.5,1.0
Koroška,2018-09,3.0,18.0,
Savinjska,2018-09,4.111111111111111,19.333333333333332,8.666666666666666
Obalno-kraška,2018-09,,17.0,15.0
Gorenjska,2018-09,,16.0,
Posavska,2018-09,2.0,17.0,
Pomurska,2018-09,,17.0,9.0
Osrednjeslovenska,2018-09,3.0,17.2,24.0
Zasavska,2018-09,5.0,24.333333333333332,15.5
Koroška,2018-10,6.0,25.0,
Goriška,2018-10,,21.5,24.0
Savinjska,2018-10,4.777777777777778,29.333333333333332,12.166666666666666
Jugovzhodna Slovenija,2018-10,1.0,22.5,2.0
Posavska,2018-10,4.0,23.0,
Pomurska,2018-10,,33.0,12.0
Gorenjska,2018-10,,16.0,
Obalno-kraška,2018-10,,21.0,17.0
Podravska,2018-10,,27.6,10.0
Osrednjeslovenska,2018-10,4.0,29.6,36.0
Zasavska,2018-10,4.666666666666667,41.0,19.5
Obalno-kraška,2018-11,,16.0,17.0
Goriška,2018-11,,16.0,21.0
Gorenjska,2018-11,,25.0,
Posavska,2018-11,3.0,18.0,
Koroška,2018-11,3.0,24.0,
Podravska,2018-11,,29.6,24.5
Savinjska,2018-11,3.4444444444444446,26.166666666666668,13.666666666666666
Zasavska,2018-11,4.333333333333333,32.333333333333336,18.0
Osrednjeslovenska,2018-11,3.5,23.0,30.0
Pomurska,2018-11,,34.0,14.0
Jugovzhodna Slovenija,2018-11,1.0,18.0,3.0
Koroška,2018-12,4.0,31.0,
Goriška,2018-12,,24.25,39.0
Zasavska,2018-12,4.666666666666667,41.333333333333336,25.0
Podravska,2018-12,,39.2,33.0
Obalno-kraška,2018-12,,23.0,27.0
Gorenjska,2018-12,,33.0,
Posavska,2018-12,2.0,16.0,
Pomurska,2018-12,,52.0,26.0
Jugovzhodna Slovenija,2018-12,2.0,26.5,3.0
Savinjska,2018-12,3.5555555555555554,39.333333333333336,19.166666666666668
Osrednjeslovenska,2018-12,3.5,46.6,43.0
Posavska,2019-01,2.0,17.0,
Obalno-kraška,2019-01,,17.0,20.0
Koroška,2019-01,4.0,28.0,
Goriška,2019-01,,27.0,42.0
Gorenjska,2019-01,,33.0,
Zasavska,2019-01,3.3333333333333335,32.333333333333336,26.0
Savinjska,2019-01,4.444444444444445,34.833333333333336,20.166666666666668
Pomurska,2019-01,,40.5,20.0
Jugovzhodna Slovenija,2019-01,0.6,25.5,4.0
Podravska,2019-01,,33.0,32.0
Osrednjeslovenska,2019-01,8.0,37.4,45.5
Koroška,2019-02,4.0,26.0,
Obalno-kraška,2019-02,,25.0,24.0
Posavska,2019-02,3.0,20.0,
Goriška,2019-02,,35.0,39.0
Gorenjska,2019-02,,31.0,
Zasavska,2019-02,3.3333333333333335,42.0,30.5
Pomurska,2019-02,,39.0,21.0
Savinjska,2019-02,4.444444444444445,37.166666666666664,19.333333333333332
Jugovzhodna Slovenija,2019-02,0.8,23.5,3.0
Podravska,2019-02,,33.2,31.5
Osrednjeslovenska,2019-02,4.5,39.8,50.0
Gorenjska,2019-03,,21.0,
Goriška,2019-03,,21.25,31.0
Koroška,2019-03,4.0,19.0,
Posavska,2019-03,3.0,16.0,
Obalno-kraška,2019-03,,18.0,18.0
Savinjska,2019-03,4.222222222222222,23.0,13.166666666666666
Pomurska,2019-03,,22.5,14.0
Jugovzhodna Slovenija,2019-03,0.6,16.0,2.0
Zasavska,2019-03,3.0,24.333333333333332,25.5
Osrednjeslovenska,2019-03,2.5,22.8,39.5
Podravska,2019-03,,19.2,23.5
Podravska,2019-04,,23.6,20.5
Osrednjeslovenska,2019-04,3.5,23.8,34.5
Gorenjska,2019-04,,19.0,
Zasavska,2019-04,3.3333333333333335,26.0,22.0
Pomurska,2019-04,,25.5,10.0
Savinjska,2019-04,4.666666666666667,24.666666666666668,9.833333333333334
Posavska,2019-04,4.0,20.0,
Goriška,2019-04,,18.5,24.0
Obalno-kraška,2019-04,,20.0,16.0
Koroška,2019-04,4.0,22.0,
Jugovzhodna Slovenija,2019-04,0.6,20.0,2.0
Jugovzhodna Slovenija,2019-05,0.5,9.0,2.0
Goriška,2019-05,,9.75,19.0
Posavska,2019-05,6.0,10.0,
Obalno-kraška,2019-05,,10.0,13.0
Gorenjska,2019-05,,10.0,
Zasavska,2019-05,3.3333333333333335,11.0,14.0
Podravska,2019-05,,12.2,16.0
Osrednjeslovenska,2019-05,4.0,12.0,26.0
Savinjska,2019-05,4.555555555555555,11.666666666666666,6.0
Pomurska,2019-05,,12.0,7.0
Koroška,2019-05,4.0,14.0,
Pomurska,2019-06,,20.5,8.0
Podravska,2019-06,,23.2,16.0
Osrednjeslovenska,2019-06,3.0,21.4,25.5
Savinjska,2019-06,4.333333333333333,20.166666666666668,6.333333333333333
Gorenjska,2019-06,,19.0,
Goriška,2019-06,,18.25,19.0
Posavska,2019-06,3.0,21.0,
Obalno-kraška,2019-06,,21.0,14.0
Zasavska,2019-06,2.6666666666666665,19.666666666666668,13.0
Jugovzhodna Slovenija,2019-06,1.0,17.0,2.0
Koroška,2019-06,5.0,22.0,
Podravska,2019-07,,18.0,14.0
Zasavska,2019-07,1.6666666666666667,15.0,11.5
Posavska,2019-07,5.0,16.0,
Savinjska,2019-07,4.555555555555555,14.666666666666666,6.0
Osrednjeslovenska,2019-07,4.5,16.8,26.5
Goriška,2019-07,,13.0,18.0
Gorenjska,2019-07,,14.0,
Pomurska,2019-07,,17.0,8.0
Jugovzhodna Slovenija,2019-07,0.7,12.5,2.0
Obalno-kraška,2019-07,,15.0,14.0
Koroška,2019-07,6.0,14.0,
Jugovzhodna Slovenija,2019-08,1.0,15.0,2.0
Zasavska,2019-08,2.0,15.666666666666666,12.0
Obalno-kraška,2019-08,,17.0,12.0
Osrednjeslovenska,2019-08,5.0,18.8,25.0
Podravska,2019-08,,15.2,11.5
Savinjska,2019-08,4.444444444444445,16.833333333333332,6.5
Gorenjska,2019-08,,15.0,
Goriška,2019-08,,15.75,18.0
Pomurska,2019-08,,16.0,8.0
Posavska,2019-08,7.0,17.0,
Koroška,2019-08,2.0,16.0,
Zasavska,2019-09,2.6666666666666665,13.333333333333334,15.5
Pomurska,2019-09,,14.5,10.0
Jugovzhodna Slovenija,2019-09,0.7,11.5,2.0
Goriška,2019-09,,13.5,22.0
Gorenjska,2019-09,,13.0,
Posavska,2019-09,3.0,14.0,
Obalno-kraška,2019-09,,12.0,12.0
Koroška,2019-09,3.0,14.0,
Osrednjeslovenska,2019-09,5.0,14.6,32.0
Savinjska,2019-09,3.4444444444444446,14.166666666666666,8.333333333333334
Podravska,2019-09,,12.4,13.5
Obalno-kraška,2019-10,,20.0,11.0
Pomurska,2019-10,,20.5,12.0
Koroška,2019-10,4.0,19.0,
Osrednjeslovenska,2019-10,3.5,18.0,36.0
Zasavska,2019-10,3.0,19.333333333333332,17.5
Posavska,2019-10,3.0,16.0,
Goriška,2019-10,,19.75,27.0
Gorenjska,2019-10,,19.0,
Podravska,2019-10,,18.0,19.0
Savinjska,2019-10,4.111111111111111,18.666666666666668,10.166666666666666
Jugovzhodna Slovenija,2019-10,0.7,14.0,2.0
Jugovzhodna Slovenija,2019-11,0.7,12.5,3.0
Savinjska,2019-11,3.6666666666666665,18.333333333333332,11.666666666666666
Podravska,2019-11,,19.4,23.5
Koroška,2019-11,4.0,15.0,
Pomurska,2019-11,,23.5,13.0
Goriška,2019-11,,12.25,26.0
Obalno-kraška,2019-11,,13.0,9.0
Posavska,2019-11,3.0,12.0,
Gorenjska,2019-11,,17.0,
Osrednjeslovenska,2019-11,4.0,18.6,27.0
Zasavska,2019-11,3.5,21.333333333333332,21.5
Zasavska,2019-12,3.5,32.666666666666664,26.0
Posavska,2019-12,3.0,14.0,
Osrednjeslovenska,2019-12,4.0,26.0,43.5
Koroška,2019-12,4.0,26.0,
Pomurska,2019-12,,31.5,18.0
Jugovzhodna Slovenija,2019-12,0.6,19.0,3.0
Podravska,2019-12,,24.8,31.5
Gorenjska,2019-12,,25.0,
Goriška,2019-12,,22.25,30.0
Savinjska,2019-12,3.4444444444444446,24.0,12.833333333333334
Obalno-kraška,2019-12,,17.0,21.0
Goriška,2020-01,,32.75,40.0
Pomurska,2020-01,,49.0,21.0
Savinjska,2020-01,3.7777777777777777,41.666666666666664,19.333333333333332
Gorenjska,2020-01,,38.0,
Posavska,2020-01,2.0,19.0,
Zasavska,2020-01,5.0,47.333333333333336,27.5
Obalno-kraška,2020-01,,33.0,32.0
Osrednjeslovenska,2020-01,4.0,50.5,49.5
Koroška,2020-01,6.0,41.0,
Jugovzhodna Slovenija,2020-01,0.2,27.5,3.0
Podravska,2020-01,,46.0,39.5
Obalno-kraška,2020-02,,28.0,25.0
Gorenjska,2020-02,,21.0,
Posavska,2020-02,3.0,13.0,
Zasavska,2020-02,3.5,22.666666666666668,20.5
Goriška,2020-02,,32.0,32.0
Jugovzhodna Slovenija,2020-02,0.7,13.0,3.0
Savinjska,2020-02,3.5555555555555554,19.5,12.666666666666666
Pomurska,2020-02,,23.5,16.0
Podravska,2020-02,,19.857142857142858,32.0
Osrednjeslovenska,2020-02,5.0,23.833333333333332,36.0
Koroška,2020-02,4.0,23.0,
Savinjska,2020-03,4.0,20.666666666666668,9.333333333333334
Goriška,2020-03,,20.25,18.0
Zasavska,2020-03,3.0,20.666666666666668,16.5
Gorenjska,2020-03,,16.0,
Posavska,2020-03,3.0,22.0,
Koroška,2020-03,4.0,21.0,
Podravska,2020-03,,22.857142857142858,23.0
Osrednjeslovenska,2020-03,4.0,21.5,23.0
Pomurska,2020-03,,19.5,11.0
Jugovzhodna Slovenija,2020-03,0.8,13.0,3.0
Obalno-kraška,2020-03,,17.0,17.0
Gorenjska,2020-04,,18.0,
Obalno-kraška,2020-04,,18.0,11.0
Pomurska,2020-04,,21.5,11.0
Goriška,2020-04,,18.75,12.0
Posavska,2020-04,5.0,20.0,
Savinjska,2020-04,4.444444444444445,20.666666666666668,8.0
Jugovzhodna Slovenija,2020-04,1.4,17.0,3.0
Podravska,2020-04,,20.857142857142858,18.5
Osrednjeslovenska,2020-04,4.0,20.833333333333332,18.5
Zasavska,2020-04,3.5,22.0,14.0
Koroška,2020-04,3.0,25.0,
Goriška,2020-05,,11.25,11.0
Jugovzhodna Slovenija,2020-05,1.0,10.0,2.0
Obalno-kraška,2020-05,,13.0,10.0
Koroška,2020-05,1.0,16.0,
Podravska,2020-05,,12.142857142857142,17.0
Savinjska,2020-05,3.7777777777777777,12.5,6.833333333333333
Osrednjeslovenska,2020-05,4.5,13.333333333333334,18.0
Posavska,2020-05,1.0,12.0,
Zasavska,2020-05,4.0,12.333333333333334,10.0
Gorenjska,2020-05,,11.0,
Pomurska,2020-05,,11.5,10.0
Posavska,2020-06,3.0,11.0,
Koroška,2020-06,1.0,14.0,
Osrednjeslovenska,2020-06,4.5,14.666666666666666,19.666666666666668
Savinjska,2020-06,4.222222222222222,12.166666666666666,5.833333333333333
Podravska,2020-06,,12.285714285714286,17.0
Zasavska,2020-06,3.0,12.0,8.5
Obalno-kraška,2020-06,,11.0,10.0
Pomurska,2020-06,,13.0,10.0
Gorenjska,2020-06,,10.0,
Jugovzhodna Slovenija,2020-06,,10.0,
Goriška,2020-06,,11.5,14.0
Savinjska,2020-07,4.777777777777778,13.333333333333334,5.6
Podravska,2020-07,,13.285714285714286,11.666666666666666
Pomurska,2020-07,,13.5,7.0
Zasavska,2020-07,1.0,13.333333333333334,10.5
Posavska,2020-07,3.0,12.0,
Osrednjeslovenska,2020-07,3.0,15.833333333333334,20.333333333333332
Jugovzhodna Slovenija,2020-07,,11.0,
Goriška,2020-07,,13.25,15.0
Koroška,2020-07,2.0,16.0,
Obalno-kraška,2020-07,,13.0,14.0
Gorenjska,2020-07,,11.0,
Podravska,2020-08,,15.0,12.0
Posavska,2020-08,2.0,14.0,
Osrednjeslovenska,2020-08,2.5,18.0,21.0
Jugovzhodna Slovenija,2020-08,,14.0,
Goriška,2020-08,,14.0,16.0
Koroška,2020-08,3.0,17.0,
Obalno-kraška,2020-08,,16.0,12.0
Savinjska,2020-08,5.0,15.833333333333334,6.2
Pomurska,2020-08,,16.5,6.0
Zasavska,2020-08,1.5,15.0,11.0
Gorenjska,2020-08,,14.0,
Gorenjska,2020-09,,14.0,
Pomurska,2020-09,,18.5,7.0
Goriška,2020-09,,14.0,22.0
Savinjska,2020-09,3.6666666666666665,15.166666666666666,8.0
Jugovzhodna Slovenija,2020-09,,12.0,
Osrednjeslovenska,2020-09,3.0,17.666666666666668,24.666666666666668
Podravska,2020-09,,15.285714285714286,15.666666666666666
Posavska,2020-09,4.0,15.0,
Zasavska,2020-09,2.0,14.333333333333334,13.5
Obalno-kraška,2020-09,,15.0,10.0
Koroška,2020-09,2.0,19.0,
Jugovzhodna Slovenija,2020-10,,11.5,
Podravska,2020-10,,16.0,18.333333333333332
Goriška,2020-10,,15.25,21.0
Osrednjeslovenska,2020-10,2.5,18.166666666666668,25.666666666666668
Savinjska,2020-10,3.4444444444444446,14.5,8.4
Posavska,2020-10,3.0,12.0,
Zasavska,2020-10,2.5,16.333333333333332,14.5
Obalno-kraška,2020-10,,15.0,12.0
Koroška,2020-10,4.0,20.0,
Pomurska,2020-10,,19.0,9.0
Gorenjska,2020-10,,15.0,
Zasavska,2020-11,1.5,30.0,20.0
Koroška,2020-11,2.0,27.0,
Jugovzhodna Slovenija,2020-11,,16.5,
Podravska,2020-11,,26.571428571428573,20.666666666666668
Goriška,2020-11,,21.25,28.0
Savinjska,2020-11,3.7777777777777777,25.166666666666668,13.4
Osrednjeslovenska,2020-11,3.0,30.0,31.0
Posavska,2020-11,3.0,16.0,
Pomurska,2020-11,,31.0,13.0
Gorenjska,2020-11,,27.0,
Obalno-kraška,2020-11,,22.0,18.0
Obalno-kraška,2020-12,,22.0,21.0
Koroška,2020-12,3.0,24.0,
Zasavska,2020-12,2.5,24.333333333333332,21.0
Posavska,2020-12,4.0,16.0,
Podravska,2020-12,,24.857142857142858,22.333333333333332
Osrednjeslovenska,2020-12,3.0,27.5,37.666666666666664
Jugovzhodna Slovenija,2020-12,,14.5,
Savinjska,2020-12,3.2222222222222223,24.333333333333332,14.0
Goriška,2020-12,,19.0,26.0
Gorenjska,2020-12,,25.0,
Pomurska,2020-12,,26.5,13.0
Pomurska,2021-01,,28.5,15.0
Zasavska,2021-01,5.0,28.0,25.0
Obalno-kraška,2021-01,,17.0,21.0
Posavska,2021-01,2.0,15.0,
Osrednjeslovenska,2021-01,4.0,31.571428571428573,35.25
Jugovzhodna Slovenija,2021-01,0.2,16.0,9.5
Koroška,2021-01,6.0,26.5,
Podravska,2021-01,,23.666666666666668,23.333333333333332
Goriška,2021-01,,20.8,20.0
Savinjska,2021-01,3.7777777777777777,22.428571428571427,14.428571428571429
Gorenjska,2021-01,,28.0,
Goriška,2021-02,,31.0,20.5
Zasavska,2021-02,3.5,27.666666666666668,21.5
Gorenjska,2021-02,,29.0,
Podravska,2021-02,,33.57142857142857,25.666666666666668
Jugovzhodna Slovenija,2021-02,0.7,19.0,9.0
Koroška,2021-02,4.0,25.5,
Osrednjeslovenska,2021-02,5.0,29.625,28.25
Savinjska,2021-02,3.5555555555555554,27.571428571428573,14.285714285714286
Pomurska,2021-02,,39.5,14.0
Posavska,2021-02,3.0,23.0,
Obalno-kraška,2021-02,,28.0,25.0
Goriška,2021-03,,19.4,19.0
Savinjska,2021-03,4.0,22.142857142857142,12.857142857142858
Koroška,2021-03,4.0,22.5,
Podravska,2021-03,,22.285714285714285,22.0
Pomurska,2021-03,,24.0,11.0
Jugovzhodna Slovenija,2021-03,0.8,13.5,8.0
Gorenjska,2021-03,,22.0,
Zasavska,2021-03,3.0,22.333333333333332,23.0
Posavska,2021-03,3.0,20.0,
Obalno-kraška,2021-03,,19.0,18.0
Osrednjeslovenska,2021-03,4.0,23.875,31.0
Posavska,2021-04,5.0,14.0,
Obalno-kraška,2021-04,,12.0,13.0
Koroška,2021-04,3.0,17.5,
Zasavska,2021-04,3.5,14.666666666666666,16.0
Gorenjska,2021-04,,14.0,
Goriška,2021-04,,11.8,13.5
Savinjska,2021-04,4.444444444444445,14.625,8.571428571428571
Podravska,2021-04,,16.0,15.0
Jugovzhodna Slovenija,2021-04,1.4,10.0,5.5
Osrednjeslovenska,2021-04,4.0,16.285714285714285,21.25
Pomurska,2021-04,,16.0,8.0
Gorenjska,2021-05,,9.0,
Zasavska,2021-05,4.0,9.75,12.5
Savinjska,2021-05,3.7777777777777777,11.285714285714286,6.285714285714286
Goriška,2021-05,,9.0,11.0
Jugovzhodna Slovenija,2021-05,1.0,7.5,4.0
Podravska,2021-05,,10.285714285714286,13.0
Osrednjeslovenska,2021-05,4.5,14.0,17.5
Pomurska,2021-05,,10.0,6.0
Koroška,2021-05,1.0,12.0,
Obalno-kraška,2021-05,,9.0,9.0
Posavska,2021-05,1.0,8.0,
Gorenjska,2021-06,,19.0,
Obalno-kraška,2021-06,,23.0,13.0
Posavska,2021-06,3.0,22.0,
Osrednjeslovenska,2021-06,4.5,24.428571428571427,18.75
Podravska,2021-06,,22.857142857142858,14.666666666666666
Zasavska,2021-06,3.0,20.333333333333332,14.0
Jugovzhodna Slovenija,2021-06,,19.0,4.5
Pomurska,2021-06,,21.5,7.0
Koroška,2021-06,1.0,23.5,
Goriška,2021-06,,18.2,11.0
