Postaja,Leto,Mesec,NOX
trbovlje,2002,Jul,43.0
nova gorica,2002,Jul,29.0
murska s.-rakican,2002,Jul,12.0
zavodnje,2002,Jul,
skale,2002,Jul,25.0
kovk,2002,Jul,4.0
vnajnarje,2002,Jul,4.0
eis celje,2002,Jul,
ljubljana b.,2002,Avg,24.0
maribor,2002,Avg,41.0
celje,2002,Avg,21.0
trbovlje,2002,Avg,43.0
nova gorica,2002,Avg,16.0
murska s.-rakican,2002,Avg,14.0
zavodnje,2002,Avg,
skale,2002,Avg,21.0
kovk,2002,Avg,4.0
vnajnarje,2002,Avg,4.0
eis celje,2002,Avg,
ljubljana b.,2002,Sep,33.0
maribor,2002,Sep,50.0
celje,2002,Sep,32.0
trbovlje,2002,Sep,28.0
nova gorica,2002,Sep,21.0
murska s.-rakican,2002,Sep,14.0
zavodnje,2002,Sep,
skale,2002,Sep,21.0
kovk,2002,Sep,4.0
vnajnarje,2002,Sep,3.0
eis celje,2002,Sep,
ljubljana b.,2002,Okt,51.0
maribor,2002,Okt,66.0
celje,2002,Okt,35.0
trbovlje,2002,Okt,55.0
nova gorica,2002,Okt,30.0
murska s.-rakican,2002,Okt,18.0
zavodnje,2002,Okt,
skale,2002,Okt,22.0
kovk,2002,Okt,5.0
vnajnarje,2002,Okt,6.0
eis celje,2002,Okt,
ljubljana b.,2002,Nov,67.0
maribor,2002,Nov,72.0
celje,2002,Nov,51.0
trbovlje,2002,Nov,73.0
nova gorica,2002,Nov,42.0
murska s.-rakican,2002,Nov,23.0
zavodnje,2002,Nov,
skale,2002,Nov,14.0
kovk,2002,Nov,8.0
vnajnarje,2002,Nov,7.0
eis celje,2002,Nov,
ljubljana b.,2002,Dec,49.0
maribor,2002,Dec,67.0
celje,2002,Dec,42.0
trbovlje,2002,Dec,61.0
nova gorica,2002,Dec,49.0
murska s.-rakican,2002,Dec,22.0
zavodnje,2002,Dec,
skale,2002,Dec,19.0
kovk,2002,Dec,12.0
vnajnarje,2002,Dec,11.0
eis celje,2002,Dec,
ljubljana b.,2003,Jan,107.0
maribor,2003,Jan,98.0
celje,2003,Jan,85.0
trbovlje,2003,Jan,72.0
nova gorica,2003,Jan,64.0
murska s.-rakican,2003,Jan,39.0
zavodnje,2003,Jan,5.0
skale,2003,Jan,18.0
kovk,2003,Jan,5.0
vnajnarje,2003,Jan,11.0
eis celje,2003,Jan,
ljubljana b.,2003,Feb,73.0
maribor,2003,Feb,79.0
celje,2003,Feb,69.0
trbovlje,2003,Feb,69.0
nova gorica,2003,Feb,51.0
murska s.-rakican,2003,Feb,29.0
zavodnje,2003,Feb,8.0
skale,2003,Feb,14.0
kovk,2003,Feb,4.0
vnajnarje,2003,Feb,7.0
eis celje,2003,Feb,
ljubljana b.,2003,Mar,50.0
maribor,2003,Mar,70.0
celje,2003,Mar,48.0
trbovlje,2003,Mar,58.0
nova gorica,2003,Mar,47.0
murska s.-rakican,2003,Mar,22.0
zavodnje,2003,Mar,13.0
skale,2003,Mar,13.0
kovk,2003,Mar,4.0
vnajnarje,2003,Mar,7.0
eis celje,2003,Mar,
ljubljana b.,2003,Apr,32.0
maribor,2003,Apr,46.0
celje,2003,Apr,33.0
trbovlje,2003,Apr,53.0
nova gorica,2003,Apr,34.0
murska s.-rakican,2003,Apr,13.0
zavodnje,2003,Apr,4.0
skale,2003,Apr,10.0
kovk,2003,Apr,2.0
vnajnarje,2003,Apr,5.0
eis celje,2003,Apr,
ljubljana b.,2003,Maj,30.0
maribor,2003,Maj,48.0
celje,2003,Maj,24.0
trbovlje,2003,Maj,47.0
nova gorica,2003,Maj,30.0
murska s.-rakican,2003,Maj,14.0
zavodnje,2003,Maj,9.0
skale,2003,Maj,7.0
kovk,2003,Maj,2.0
vnajnarje,2003,Maj,4.0
eis celje,2003,Maj,
ljubljana b.,2003,Jun,23.0
maribor,2003,Jun,41.0
celje,2003,Jun,22.0
trbovlje,2003,Jun,39.0
nova gorica,2003,Jun,24.0
murska s.-rakican,2003,Jun,13.0
zavodnje,2003,Jun,8.0
skale,2003,Jun,7.0
kovk,2003,Jun,2.0
vnajnarje,2003,Jun,4.0
eis celje,2003,Jun,
ljubljana b.,2003,Jul,23.0
maribor,2003,Jul,37.0
celje,2003,Jul,20.0
trbovlje,2003,Jul,41.0
nova gorica,2003,Jul,21.0
murska s.-rakican,2003,Jul,14.0
zavodnje,2003,Jul,5.0
skale,2003,Jul,6.0
kovk,2003,Jul,2.0
vnajnarje,2003,Jul,3.0
eis celje,2003,Jul,
ljubljana b.,2003,Avg,29.0
maribor,2003,Avg,36.0
celje,2003,Avg,25.0
trbovlje,2003,Avg,44.0
nova gorica,2003,Avg,23.0
murska s.-rakican,2003,Avg,15.0
zavodnje,2003,Avg,4.0
skale,2003,Avg,7.0
kovk,2003,Avg,2.0
vnajnarje,2003,Avg,4.0
eis celje,2003,Avg,
ljubljana b.,2003,Sep,44.0
maribor,2003,Sep,48.0
celje,2003,Sep,37.0
trbovlje,2003,Sep,52.0
nova gorica,2003,Sep,36.0
murska s.-rakican,2003,Sep,17.0
zavodnje,2003,Sep,7.0
skale,2003,Sep,8.0
kovk,2003,Sep,2.0
vnajnarje,2003,Sep,5.0
eis celje,2003,Sep,
ljubljana b.,2003,Okt,45.0
maribor,2003,Okt,61.0
celje,2003,Okt,38.0
trbovlje,2003,Okt,51.0
nova gorica,2003,Okt,50.0
murska s.-rakican,2003,Okt,17.0
zavodnje,2003,Okt,4.0
skale,2003,Okt,9.0
kovk,2003,Okt,5.0
vnajnarje,2003,Okt,7.0
eis celje,2003,Okt,
ljubljana b.,2003,Nov,58.0
maribor,2003,Nov,84.0
celje,2003,Nov,52.0
trbovlje,2003,Nov,52.0
nova gorica,2003,Nov,59.0
murska s.-rakican,2003,Nov,22.0
zavodnje,2003,Nov,8.0
skale,2003,Nov,12.0
kovk,2003,Nov,7.0
vnajnarje,2003,Nov,8.0
eis celje,2003,Nov,
ljubljana b.,2003,Dec,75.0
maribor,2003,Dec,85.0
celje,2003,Dec,71.0
trbovlje,2003,Dec,72.0
nova gorica,2003,Dec,78.0
murska s.-rakican,2003,Dec,26.0
zavodnje,2003,Dec,10.0
skale,2003,Dec,17.0
kovk,2003,Dec,14.0
vnajnarje,2003,Dec,10.0
eis celje,2003,Dec,
ljubljana b.,2004,Jan,67.0
maribor,2004,Jan,70.0
celje,2004,Jan,63.0
trbovlje,2004,Jan,50.0
nova gorica,2004,Jan,65.0
murska s.-rakican,2004,Jan,22.0
zavodnje,2004,Jan,5.0
skale,2004,Jan,18.0
kovk,2004,Jan,16.0
sv.mohor,2004,Jan,13.0
vnajnarje,2004,Jan,10.0
eis celje,2004,Jan,
ljubljana b.,2004,Feb,71.0
maribor,2004,Feb,62.0
celje,2004,Feb,64.0
trbovlje,2004,Feb,53.0
nova gorica,2004,Feb,57.0
murska s.-rakican,2004,Feb,32.0
zavodnje,2004,Feb,9.0
skale,2004,Feb,17.0
kovk,2004,Feb,10.0
sv.mohor,2004,Feb,9.0
vnajnarje,2004,Feb,8.0
eis celje,2004,Feb,
ljubljana b.,2004,Mar,56.0
maribor,2004,Mar,56.0
celje,2004,Mar,51.0
trbovlje,2004,Mar,47.0
nova gorica,2004,Mar,35.0
murska s.-rakican,2004,Mar,13.0
zavodnje,2004,Mar,9.0
skale,2004,Mar,11.0
kovk,2004,Mar,14.0
sv.mohor,2004,Mar,6.0
vnajnarje,2004,Mar,5.0
eis celje,2004,Mar,
ljubljana b.,2004,Apr,37.0
maribor,2004,Apr,48.0
celje,2004,Apr,36.0
trbovlje,2004,Apr,50.0
nova gorica,2004,Apr,34.0
murska s.-rakican,2004,Apr,11.0
zavodnje,2004,Apr,5.0
skale,2004,Apr,9.0
kovk,2004,Apr,14.0
sv.mohor,2004,Apr,6.0
vnajnarje,2004,Apr,4.0
eis celje,2004,Apr,
ljubljana b.,2004,Maj,27.0
