Postaja,Leto,Mesec,NO2
maribor,2002,Dec,30.0
celje,2002,Dec,24.0
trbovlje,2002,Dec,29.0
nova gorica,2002,Dec,26.0
murska s.-rakican,2002,Dec,16.0
skale,2002,Dec,15.0
kovk,2002,Dec,10.0
vnajnarje,2002,Dec,11.0
ljubljana b.,2003,Jan,57.0
maribor,2003,Jan,50.0
celje,2003,Jan,44.0
trbovlje,2003,Jan,38.0
nova gorica,2003,Jan,34.0
murska s.-rakican,2003,Jan,27.0
zavodnje,2003,Jan,3.0
skale,2003,Jan,17.0
kovk,2003,Jan,3.0
vnajnarje,2003,Jan,10.0
ljubljana b.,2003,Feb,50.0
maribor,2003,Feb,52.0
celje,2003,Feb,48.0
trbovlje,2003,Feb,44.0
nova gorica,2003,Feb,32.0
murska s.-rakican,2003,Feb,24.0
zavodnje,2003,Feb,7.0
skale,2003,Feb,13.0
kovk,2003,Feb,3.0
vnajnarje,2003,Feb,6.0
ljubljana b.,2003,Mar,39.0
maribor,2003,Mar,47.0
celje,2003,Mar,33.0
trbovlje,2003,Mar,39.0
nova gorica,2003,Mar,34.0
murska s.-rakican,2003,Mar,18.0
zavodnje,2003,Mar,12.0
skale,2003,Mar,12.0
kovk,2003,Mar,3.0
vnajnarje,2003,Mar,6.0
ljubljana b.,2003,Apr,26.0
maribor,2003,Apr,34.0
celje,2003,Apr,22.0
trbovlje,2003,Apr,34.0
nova gorica,2003,Apr,26.0
murska s.-rakican,2003,Apr,11.0
zavodnje,2003,Apr,3.0
skale,2003,Apr,8.0
kovk,2003,Apr,
vnajnarje,2003,Apr,5.0
ljubljana b.,2003,Maj,25.0
maribor,2003,Maj,36.0
celje,2003,Maj,19.0
trbovlje,2003,Maj,33.0
nova gorica,2003,Maj,24.0
murska s.-rakican,2003,Maj,12.0
zavodnje,2003,Maj,7.0
skale,2003,Maj,5.0
kovk,2003,Maj,
vnajnarje,2003,Maj,4.0
ljubljana b.,2003,Jun,21.0
maribor,2003,Jun,36.0
celje,2003,Jun,18.0
trbovlje,2003,Jun,29.0
nova gorica,2003,Jun,20.0
murska s.-rakican,2003,Jun,12.0
zavodnje,2003,Jun,7.0
skale,2003,Jun,4.0
kovk,2003,Jun,2.0
vnajnarje,2003,Jun,4.0
ljubljana b.,2003,Jul,20.0
maribor,2003,Jul,29.0
celje,2003,Jul,16.0
trbovlje,2003,Jul,29.0
nova gorica,2003,Jul,17.0
murska s.-rakican,2003,Jul,12.0
zavodnje,2003,Jul,4.0
skale,2003,Jul,4.0
kovk,2003,Jul,2.0
