Postaja,Regija,Leto,PM10 - Dnevnih presežkov
pesje,Posavska,2015,9.0
prapretno,Zasavska,2015,20.0
lj center,Osrednjeslovenska,2015,85.0
amp gaji,Savinjska,2015,76.0
mb vrbanski,Podravska,2015,3.0
eis anhovo (morsko),Goriška,2015,7.0
eis anhovo (gor.polje),Goriška,2015,12.0
lj bezigrad,Osrednjeslovenska,2016,36.0
maribor,Podravska,2016,43.0
celje,Savinjska,2016,53.0
ms rakican,Pomurska,2016,42.0
nova gorica,Goriška,2016,15.0
trbovlje,Zasavska,2016,38.0
zagorje,Zasavska,2016,51.0
hrastnik,Zasavska,2016,25.0
koper,Obalno-kraška,2016,11.0
zerjav,Koroška,2016,19.0
lj biotehniska,Osrednjeslovenska,2016,40.0
kranj,Gorenjska,2016,27.0
novo mesto,Jugovzhodna Slovenija,2016,41.0
velenje,Savinjska,2016,10.0
pesje,Posavska,2016,8.0
skale,Savinjska,2016,1.0
sostanj,Savinjska,2016,3.0
prapretno,Zasavska,2016,1.0
lj center,Osrednjeslovenska,2016,66.0
vnajnarje,Osrednjeslovenska,2016,2.0
amp gaji,Savinjska,2016,45.0
mb vrbanski,Podravska,2016,21.0
morsko,Goriška,2016,6.0
gorenje polje,Goriška,2016,3.0
miklavz,Podravska,2016,45.0
lj bezigrad,Osrednjeslovenska,2017,30.0
lj biotehniska,Osrednjeslovenska,2017,32.0
lj gospodarsko,Osrednjeslovenska,2017,39.0
maribor,Podravska,2017,35.0
celje,Savinjska,2017,49.0
ce mariborska,Savinjska,2017,57.0
ms rakican,Pomurska,2017,44.0
nova gorica,Goriška,2017,24.0
ng grcna,Goriška,2017,21.0
trbovlje,Zasavska,2017,39.0
zagorje,Zasavska,2017,46.0
hrastnik,Zasavska,2017,19.0
koper,Obalno-kraška,2017,18.0
iskrba,Jugovzhodna Slovenija,2017,3.0
zerjav,Koroška,2017,9.0
kranj,Gorenjska,2017,28.0
novo mesto,Jugovzhodna Slovenija,2017,33.0
velenje,Savinjska,2017,19.0
pesje,Posavska,2017,20.0
skale,Savinjska,2017,9.0
sostanj,Savinjska,2017,14.0
lj center,Osrednjeslovenska,2017,51.0
vnajnarje,Osrednjeslovenska,2017,8.0
ce gaji,Savinjska,2017,39.0
mb vrbanski,Podravska,2017,21.0
morsko,Goriška,2017,6.0
gorenje polje,Goriška,2017,7.0
miklavz,Podravska,2017,39.0
ptuj,Podravska,2017,38.0
ruse,Podravska,2017,17.0
lj bezigrad,Osrednjeslovenska,2018,28.0
lj biotehniska,Osrednjeslovenska,2018,16.0
lj gospodarsko,Osrednjeslovenska,2018,20.0
maribor,Podravska,2018,30.0
celje,Savinjska,2018,35.0
ce mariborska,Savinjska,2018,45.0
ms rakican,Pomurska,2018,34.0
ms cankarjeva,Pomurska,2018,46.0
nova gorica,Goriška,2018,6.0
ng grcna,Goriška,2018,5.0
trbovlje,Zasavska,2018,37.0
zagorje,Zasavska,2018,55.0
hrastnik,Zasavska,2018,11.0
koper,Obalno-kraška,2018,4.0
iskrba,Jugovzhodna Slovenija,2018,2.0
zerjav,Koroška,2018,5.0
kranj,Gorenjska,2018,13.0
novo mesto,Jugovzhodna Slovenija,2018,31.0
velenje,Savinjska,2018,2.0
pesje,Posavska,2018,3.0
skale,Savinjska,2018,3.0
sostanj,Savinjska,2018,4.0
lj center,Osrednjeslovenska,2018,51.0
medvode,Osrednjeslovenska,2018,7.0
ce gaji,Savinjska,2018,43.0
mb vrbanski,Podravska,2018,12.0
morsko,Goriška,2018,3.0
gorenje polje,Goriška,2018,3.0
miklavz,Podravska,2018,35.0
ptuj,Podravska,2018,25.0
ruse,Podravska,2018,15.0
lj bezigrad,Osrednjeslovenska,2019,16.0
lj biotehniska,Osrednjeslovenska,2019,8.0
lj gospodarsko,Osrednjeslovenska,2019,21.0
maribor,Podravska,2019,13.0
celje,Savinjska,2019,23.0
ce mariborska,Savinjska,2019,43.0
ms rakican,Pomurska,2019,14.0
ms cankarjeva,Pomurska,2019,28.0
nova gorica,Goriška,2019,10.0
ng grcna,Goriška,2019,10.0
trbovlje,Zasavska,2019,16.0
zagorje,Zasavska,2019,28.0
hrastnik,Zasavska,2019,9.0
koper,Obalno-kraška,2019,8.0
iskrba,Jugovzhodna Slovenija,2019,2.0
zerjav,Koroška,2019,1.0
kranj,Gorenjska,2019,8.0
novo mesto,Jugovzhodna Slovenija,2019,10.0
velenje,Savinjska,2019,2.0
pesje,Posavska,2019,1.0
skale,Savinjska,2019,1.0
sostanj,Savinjska,2019,1.0
lj center,Osrednjeslovenska,2019,37.0
medvode,Osrednjeslovenska,2019,2.0
ce gaji,Savinjska,2019,25.0
morsko,Goriška,2019,5.0
gorenje polje,Goriška,2019,7.0
miklavz,Podravska,2019,31.0
ptuj,Podravska,2019,15.0
ruse,Podravska,2019,11.0
ce bolnica,Savinjska,2020,23.0
ce mariborska,Savinjska,2020,34.0
hrastnik,Zasavska,2020,7.0
koper,Obalno-kraška,2020,17.0
kranj,Gorenjska,2020,8.0
lj bezigrad,Osrednjeslovenska,2020,18.0
lj biotehniska,Osrednjeslovenska,2020,22.0
lj celovska,Osrednjeslovenska,2020,3.0
lj gospodarsko,Osrednjeslovenska,2020,16.0
mb titova,Podravska,2020,15.0
mb vrbanski,Podravska,2020,3.0
ms rakican,Pomurska,2020,11.0
ms cankarjeva,Pomurska,2020,19.0
ng grcna,Goriška,2020,14.0
ng vojkova,Goriška,2020,16.0
novo mesto,Jugovzhodna Slovenija,2020,10.0
ptuj,Podravska,2020,14.0
trbovlje,Zasavska,2020,18.0
zagorje,Zasavska,2020,24.0
zerjav,Koroška,2020,5.0
pesje,Posavska,2020,2.0
skale,Savinjska,2020,2.0
sostanj,Savinjska,2020,2.0
lj center,Osrednjeslovenska,2020,37.0
medvode,Osrednjeslovenska,2020,2.0
ce gaji,Savinjska,2020,17.0
mb tezno,Podravska,2020,9.0
morsko,Goriška,2020,7.0
gorenje polje,Goriška,2020,9.0
miklavz,Podravska,2020,24.0
spuhlja,Podravska,2020,25.0
ruse,Podravska,2020,12.0
grosuplje,Osrednjeslovenska,2020,32.0
ce bolnica,Savinjska,2021,18.0
ce mariborska,Savinjska,2021,16.0
ce ljubljanska,Savinjska,2021,9.0
deskle,Goriška,2021,4.0
hrastnik,Zasavska,2021,8.0
iskrba,Jugovzhodna Slovenija,2021,1.0
koper,Obalno-kraška,2021,8.0
kranj,Gorenjska,2021,6.0
lj bezigrad,Osrednjeslovenska,2021,12.0
lj biotehniska,Osrednjeslovenska,2021,4.0
lj celovska,Osrednjeslovenska,2021,15.0
lj vic,Osrednjeslovenska,2021,8.0
mb titova,Podravska,2021,13.0
mb vrbanski,Podravska,2021,4.0
ms cankarjeva,Pomurska,2021,29.0
ms rakican,Pomurska,2021,14.0
ng grcna,Goriška,2021,6.0
ng vojkova,Goriška,2021,12.0
novo mesto,Jugovzhodna Slovenija,2021,3.0
ptuj,Podravska,2021,13.0
trbovlje nasipi,Zasavska,2021,5.0
trbovlje park,Zasavska,2021,5.0
velenje,Savinjska,2021,5.0
zagorje,Zasavska,2021,14.0
zerjav,Koroška,2021,6.0
mobilna tes,Savinjska,2021,1.0
pesje,Posavska,2021,4.0
skale,Savinjska,2021,4.0
sostanj,Savinjska,2021,2.0
lj center,Osrednjeslovenska,2021,30.0
zadobrova,Osrednjeslovenska,2021,8.0
medvode,Osrednjeslovenska,2021,9.0
ce gaji,Savinjska,2021,6.0
mb tezno,Podravska,2021,11.0
morsko,Goriška,2021,4.0
gorenje polje,Goriška,2021,7.0
miklavz,Podravska,2021,18.0
spuhlja,Podravska,2021,20.0
ruse,Podravska,2021,3.0
grosuplje,Osrednjeslovenska,2021,22.0
slovenj gradec,Koroška,2021,5.0
ce bolnica,Savinjska,2022,13.0
ce ljubljanska,Savinjska,2022,13.0
hrastnik,Zasavska,2022,1.0
koper,Obalno-kraška,2022,12.0
kranj,Gorenjska,2022,5.0
lj bezigrad,Osrednjeslovenska,2022,11.0
lj celovska,Osrednjeslovenska,2022,11.0
lj vic,Osrednjeslovenska,2022,11.0
mb titova,Podravska,2022,3.0
ms cankarjeva,Pomurska,2022,39.0
ms rakican,Pomurska,2022,10.0
ng grcna,Goriška,2022,9.0
ng vojkova,Goriška,2022,10.0
ptuj,Podravska,2022,9.0
trbovlje,Zasavska,2022,8.0
zagorje,Zasavska,2022,11.0
zerjav,Koroška,2022,2.0
lj center,Osrednjeslovenska,2022,27.0
zadobrova,Osrednjeslovenska,2022,1.0
medvode,Osrednjeslovenska,2022,5.0
sv. mohor,Savinjska,2022,1.0
mb tezno,Podravska,2022,4.0
gorenje polje,Goriška,2022,2.0
miklavz,Podravska,2022,8.0
spuhlja,Podravska,2022,17.0
ce bolnica,Savinjska,2023,12.0
ce ljubljanska,Savinjska,2023,8.0
hrastnik,Zasavska,2023,1.0
ib gregorciceva,Notranjsko-kraška,2023,6.0
koper,Obalno-kraška,2023,12.0
kranj,Gorenjska,2023,6.0
lj bezigrad,Osrednjeslovenska,2023,14.0
lj celovska,Osrednjeslovenska,2023,16.0
lj vic,Osrednjeslovenska,2023,10.0
mb titova,Podravska,2023,1.0
ms cankarjeva,Pomurska,2023,33.0
ms rakican,Pomurska,2023,6.0
ng grcna,Goriška,2023,13.0
ng vojkova,Goriška,2023,15.0
ptuj,Podravska,2023,8.0
trbovlje,Zasavska,2023,7.0
zagorje,Zasavska,2023,5.0
zerjav,Koroška,2023,8.0
lj center,Osrednjeslovenska,2023,22.0
zadobrova,Osrednjeslovenska,2023,9.0
medvode,Osrednjeslovenska,2023,4.0
mb tezno,Podravska,2023,4.0
morsko,Goriška,2023,6.0
gorenje polje,Goriška,2023,11.0
spuhlja,Podravska,2023,19.0
