Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
kovk,Zasavska,1998,Sep,,42.0,5.0,5.0
kum,Zasavska,1998,Sep,,13.0,,
ljubljana b.,Osrednjeslovenska,1998,Sep,,10.0,,
ljubljana f.,Osrednjeslovenska,1998,Sep,,6.0,35.0,52.0
maribor,Podravska,1998,Sep,,8.0,36.0,56.0
ravenska vas,Zasavska,1998,Sep,,72.0,,
skale,Savinjska,1998,Sep,,10.0,6.0,6.0
skale,Savinjska,1998,Sep,,10.0,6.0,43.0
skale,Savinjska,1998,Sep,,10.0,60.0,6.0
skale,Savinjska,1998,Sep,,10.0,60.0,43.0
skale,Savinjska,1998,Sep,,6.0,6.0,6.0
skale,Savinjska,1998,Sep,,6.0,6.0,43.0
skale,Savinjska,1998,Sep,,6.0,60.0,6.0
skale,Savinjska,1998,Sep,,6.0,60.0,43.0
sostanj,Savinjska,1998,Sep,,53.0,,
topolsica,Savinjska,1998,Sep,,14.0,,
trbovlje,Zasavska,1998,Sep,,18.0,23.0,45.0
velenje,Savinjska,1998,Sep,,5.0,,
veliki vrh,Savinjska,1998,Sep,,35.0,,
vnajnarje,Osrednjeslovenska,1998,Sep,,6.0,4.0,4.0
zagorje,Zasavska,1998,Sep,,18.0,,
zavodnje,Savinjska,1998,Sep,,24.0,5.0,6.0
celje,Savinjska,1998,Okt,,14.0,23.0,44.0
dobovec,Zasavska,1998,Okt,,65.0,,
eis celje,Savinjska,1998,Okt,,27.0,48.0,
eis krsko,Posavska,1998,Okt,,13.0,,
graska gora,Koroška,1998,Okt,,53.0,,
hrastnik,Zasavska,1998,Okt,,23.0,,
kovk,Zasavska,1998,Okt,,34.0,5.0,6.0
kum,Zasavska,1998,Okt,,14.0,,
ljubljana b.,Osrednjeslovenska,1998,Okt,,20.0,,
ljubljana f.,Osrednjeslovenska,1998,Okt,,15.0,44.0,84.0
maribor,Podravska,1998,Okt,,15.0,36.0,66.0
ravenska vas,Zasavska,1998,Okt,,57.0,,
skale,Savinjska,1998,Okt,,15.0,8.0,9.0
skale,Savinjska,1998,Okt,,15.0,8.0,68.0
skale,Savinjska,1998,Okt,,15.0,40.0,9.0
skale,Savinjska,1998,Okt,,15.0,40.0,68.0
skale,Savinjska,1998,Okt,,13.0,8.0,9.0
skale,Savinjska,1998,Okt,,13.0,8.0,68.0
skale,Savinjska,1998,Okt,,13.0,40.0,9.0
skale,Savinjska,1998,Okt,,13.0,40.0,68.0
sostanj,Savinjska,1998,Okt,,28.0,,
topolsica,Savinjska,1998,Okt,,9.0,,
trbovlje,Zasavska,1998,Okt,,17.0,24.0,49.0
velenje,Savinjska,1998,Okt,,6.0,,
veliki vrh,Savinjska,1998,Okt,,41.0,,
vnajnarje,Osrednjeslovenska,1998,Okt,,12.0,5.0,6.0
zagorje,Zasavska,1998,Okt,,13.0,,
zavodnje,Savinjska,1998,Okt,,46.0,7.0,9.0
celje,Savinjska,1998,Nov,,29.0,32.0,70.0
dobovec,Zasavska,1998,Nov,,64.0,,
eis celje,Savinjska,1998,Nov,,57.0,54.0,
eis krsko,Posavska,1998,Nov,,16.0,,
graska gora,Koroška,1998,Nov,,21.0,,
hrastnik,Zasavska,1998,Nov,,41.0,,
kovk,Zasavska,1998,Nov,,24.0,7.0,7.0
kum,Zasavska,1998,Nov,,21.0,,
ljubljana b.,Osrednjeslovenska,1998,Nov,,43.0,,
ljubljana f.,Osrednjeslovenska,1998,Nov,,29.0,47.0,98.0
maribor,Podravska,1998,Nov,,22.0,36.0,65.0
ravenska vas,Zasavska,1998,Nov,,122.0,,
skale,Savinjska,1998,Nov,,12.0,9.0,9.0
skale,Savinjska,1998,Nov,,12.0,9.0,81.0
skale,Savinjska,1998,Nov,,12.0,46.0,9.0
skale,Savinjska,1998,Nov,,12.0,46.0,81.0
skale,Savinjska,1998,Nov,,31.0,9.0,9.0
skale,Savinjska,1998,Nov,,31.0,9.0,81.0
skale,Savinjska,1998,Nov,,31.0,46.0,9.0
skale,Savinjska,1998,Nov,,31.0,46.0,81.0
sostanj,Savinjska,1998,Nov,,43.0,,
topolsica,Savinjska,1998,Nov,,13.0,,
trbovlje,Zasavska,1998,Nov,,40.0,29.0,64.0
velenje,Savinjska,1998,Nov,,10.0,,
veliki vrh,Savinjska,1998,Nov,,89.0,,
vnajnarje,Osrednjeslovenska,1998,Nov,,35.0,5.0,5.0
zagorje,Zasavska,1998,Nov,,36.0,,
zavodnje,Savinjska,1998,Nov,,32.0,7.0,8.0
celje,Savinjska,1998,Dec,,57.0,58.0,116.0
dobovec,Zasavska,1998,Dec,,94.0,,
eis celje,Savinjska,1998,Dec,,,,
eis krsko,Posavska,1998,Dec,,38.0,,
graska gora,Koroška,1998,Dec,,25.0,,
hrastnik,Zasavska,1998,Dec,,57.0,,
kovk,Zasavska,1998,Dec,,57.0,10.0,12.0
kum,Zasavska,1998,Dec,,18.0,,
ljubljana b.,Osrednjeslovenska,1998,Dec,,40.0,,
ljubljana f.,Osrednjeslovenska,1998,Dec,,26.0,60.0,120.0
maribor,Podravska,1998,Dec,,41.0,45.0,88.0
ravenska vas,Zasavska,1998,Dec,,81.0,,
skale,Savinjska,1998,Dec,,25.0,15.0,17.0
skale,Savinjska,1998,Dec,,25.0,15.0,198.0
skale,Savinjska,1998,Dec,,25.0,102.0,17.0
skale,Savinjska,1998,Dec,,25.0,102.0,198.0
skale,Savinjska,1998,Dec,,40.0,15.0,17.0
skale,Savinjska,1998,Dec,,40.0,15.0,198.0
skale,Savinjska,1998,Dec,,40.0,102.0,17.0
skale,Savinjska,1998,Dec,,40.0,102.0,198.0
sostanj,Savinjska,1998,Dec,,29.0,,
topolsica,Savinjska,1998,Dec,,35.0,,
trbovlje,Zasavska,1998,Dec,,60.0,39.0,81.0
velenje,Savinjska,1998,Dec,,23.0,,
veliki vrh,Savinjska,1998,Dec,,124.0,,
vnajnarje,Osrednjeslovenska,1998,Dec,,26.0,10.0,12.0
zagorje,Zasavska,1998,Dec,,39.0,,
zavodnje,Savinjska,1998,Dec,,103.0,13.0,16.0
celje,Savinjska,1999,Jan,47.0,44.0,28.0,64.0
dobovec,Zasavska,1999,Jan,,134.0,,
eis celje,Savinjska,1999,Jan,50.0,52.0,,
eis krsko,Posavska,1999,Jan,,28.0,,
graska gora,Koroška,1999,Jan,,38.0,,
hrastnik,Zasavska,1999,Jan,,48.0,,
kovk,Zasavska,1999,Jan,,137.0,16.0,24.0
kum,Zasavska,1999,Jan,,12.0,,
ljubljana b.,Osrednjeslovenska,1999,Jan,,28.0,,
ljubljana f.,Osrednjeslovenska,1999,Jan,43.0,19.0,89.0,140.0
maribor,Podravska,1999,Jan,,32.0,39.0,79.0
ravenska vas,Zasavska,1999,Jan,,76.0,,
skale,Savinjska,1999,Jan,,35.0,13.0,17.0
sostanj,Savinjska,1999,Jan,,36.0,,
topolsica,Savinjska,1999,Jan,,31.0,,
trbovlje,Zasavska,1999,Jan,52.0,53.0,29.0,56.0
velenje,Savinjska,1999,Jan,,32.0,,
veliki vrh,Savinjska,1999,Jan,,179.0,,
vnajnarje,Osrednjeslovenska,1999,Jan,,19.0,13.0,16.0
zagorje,Zasavska,1999,Jan,,37.0,,
zavodnje,Savinjska,1999,Jan,,94.0,15.0,18.0
celje,Savinjska,1999,Feb,48.0,33.0,40.0,76.0
dobovec,Zasavska,1999,Feb,,39.0,,
eis celje,Savinjska,1999,Feb,56.0,45.0,75.0,
eis krsko,Posavska,1999,Feb,,48.0,,
graska gora,Koroška,1999,Feb,,53.0,,
hrastnik,Zasavska,1999,Feb,,26.0,,
kovk,Zasavska,1999,Feb,,132.0,15.0,16.0
kum,Zasavska,1999,Feb,,29.0,,
ljubljana b.,Osrednjeslovenska,1999,Feb,,25.0,,
ljubljana f.,Osrednjeslovenska,1999,Feb,46.0,23.0,84.0,117.0
maribor,Podravska,1999,Feb,,32.0,53.0,90.0
ravenska vas,Zasavska,1999,Feb,,34.0,,
skale,Savinjska,1999,Feb,,25.0,10.0,11.0
sostanj,Savinjska,1999,Feb,,53.0,,
topolsica,Savinjska,1999,Feb,,35.0,,
trbovlje,Zasavska,1999,Feb,53.0,47.0,33.0,60.0
velenje,Savinjska,1999,Feb,,15.0,,
veliki vrh,Savinjska,1999,Feb,,101.0,,
vnajnarje,Osrednjeslovenska,1999,Feb,,14.0,8.0,9.0
zagorje,Zasavska,1999,Feb,,31.0,,
zavodnje,Savinjska,1999,Feb,,56.0,9.0,10.0
celje,Savinjska,1999,Mar,51.0,16.0,28.0,39.0
dobovec,Zasavska,1999,Mar,,19.0,,
eis celje,Savinjska,1999,Mar,51.0,23.0,51.0,
eis krsko,Posavska,1999,Mar,,28.0,,
graska gora,Koroška,1999,Mar,,67.0,,
hrastnik,Zasavska,1999,Mar,,20.0,,
kovk,Zasavska,1999,Mar,,70.0,9.0,10.0
kum,Zasavska,1999,Mar,,12.0,,
ljubljana b.,Osrednjeslovenska,1999,Mar,,22.0,,
ljubljana f.,Osrednjeslovenska,1999,Mar,40.0,27.0,56.0,76.0
maribor,Podravska,1999,Mar,,23.0,46.0,69.0
ravenska vas,Zasavska,1999,Mar,,73.0,,
skale,Savinjska,1999,Mar,,39.0,10.0,11.0
sostanj,Savinjska,1999,Mar,,73.0,,
topolsica,Savinjska,1999,Mar,,25.0,,
trbovlje,Zasavska,1999,Mar,61.0,27.0,28.0,47.0
velenje,Savinjska,1999,Mar,,14.0,,
veliki vrh,Savinjska,1999,Mar,,72.0,,
vnajnarje,Osrednjeslovenska,1999,Mar,,28.0,6.0,5.0
zagorje,Zasavska,1999,Mar,,30.0,,
zavodnje,Savinjska,1999,Mar,,39.0,7.0,8.0
celje,Savinjska,1999,Apr,33.0,12.0,27.0,35.0
dobovec,Zasavska,1999,Apr,,52.0,,
eis celje,Savinjska,1999,Apr,42.0,17.0,47.0,
eis krsko,Posavska,1999,Apr,,43.0,,
graska gora,Koroška,1999,Apr,,54.0,,
hrastnik,Zasavska,1999,Apr,,18.0,,
kovk,Zasavska,1999,Apr,,91.0,10.0,10.0
kum,Zasavska,1999,Apr,,23.0,,
ljubljana b.,Osrednjeslovenska,1999,Apr,,16.0,,
ljubljana f.,Osrednjeslovenska,1999,Apr,30.0,19.0,40.0,55.0
maribor,Podravska,1999,Apr,,14.0,39.0,52.0
ravenska vas,Zasavska,1999,Apr,,59.0,,
skale,Savinjska,1999,Apr,,18.0,8.0,8.0
sostanj,Savinjska,1999,Apr,,84.0,,
topolsica,Savinjska,1999,Apr,,13.0,,
trbovlje,Zasavska,1999,Apr,52.0,20.0,26.0,42.0
velenje,Savinjska,1999,Apr,,6.0,,
veliki vrh,Savinjska,1999,Apr,,72.0,,
vnajnarje,Osrednjeslovenska,1999,Apr,,19.0,4.0,4.0
zagorje,Zasavska,1999,Apr,,18.0,,
zavodnje,Savinjska,1999,Apr,,20.0,5.0,5.0
celje,Savinjska,1999,Maj,29.0,10.0,22.0,28.0
dobovec,Zasavska,1999,Maj,,30.0,,
eis celje,Savinjska,1999,Maj,37.0,11.0,40.0,
eis krsko,Posavska,1999,Maj,,36.0,,
graska gora,Koroška,1999,Maj,,24.0,,
hrastnik,Zasavska,1999,Maj,,13.0,,
kovk,Zasavska,1999,Maj,,51.0,6.0,6.0
kum,Zasavska,1999,Maj,,9.0,,
ljubljana b.,Osrednjeslovenska,1999,Maj,,28.0,,
ljubljana f.,Osrednjeslovenska,1999,Maj,31.0,23.0,40.0,54.0
maribor,Podravska,1999,Maj,,8.0,43.0,66.0
ravenska vas,Zasavska,1999,Maj,,78.0,,
skale,Savinjska,1999,Maj,,8.0,6.0,6.0
sostanj,Savinjska,1999,Maj,,42.0,,
topolsica,Savinjska,1999,Maj,,21.0,,
trbovlje,Zasavska,1999,Maj,43.0,16.0,23.0,38.0
velenje,Savinjska,1999,Maj,,7.0,,
veliki vrh,Savinjska,1999,Maj,,41.0,,
vnajnarje,Osrednjeslovenska,1999,Maj,,22.0,4.0,3.0
zagorje,Zasavska,1999,Maj,,23.0,,
zavodnje,Savinjska,1999,Maj,,46.0,4.0,5.0
celje,Savinjska,1999,Jun,23.0,5.0,18.0,23.0
dobovec,Zasavska,1999,Jun,,3.0,,
eis celje,Savinjska,1999,Jun,28.0,4.0,,
eis krsko,Posavska,1999,Jun,,36.0,,
graska gora,Koroška,1999,Jun,,7.0,,
hrastnik,Zasavska,1999,Jun,,5.0,,
kovk,Zasavska,1999,Jun,,6.0,4.0,
kum,Zasavska,1999,Jun,,13.0,,
ljubljana b.,Osrednjeslovenska,1999,Jun,,8.0,,
ljubljana f.,Osrednjeslovenska,1999,Jun,24.0,4.0,40.0,50.0
maribor,Podravska,1999,Jun,,5.0,35.0,49.0
ravenska vas,Zasavska,1999,Jun,,31.0,,
skale,Savinjska,1999,Jun,,4.0,4.0,4.0
sostanj,Savinjska,1999,Jun,,32.0,,
topolsica,Savinjska,1999,Jun,,8.0,,
trbovlje,Zasavska,1999,Jun,39.0,11.0,23.0,41.0
velenje,Savinjska,1999,Jun,,3.0,,
veliki vrh,Savinjska,1999,Jun,,31.0,,
vnajnarje,Osrednjeslovenska,1999,Jun,,3.0,3.0,3.0
zagorje,Zasavska,1999,Jun,,4.0,,
zavodnje,Savinjska,1999,Jun,,13.0,3.0,3.0
celje,Savinjska,1999,Jul,25.0,7.0,22.0,26.0
dobovec,Zasavska,1999,Jul,,4.0,,
eis celje,Savinjska,1999,Jul,32.0,5.0,34.0,
eis krsko,Posavska,1999,Jul,,42.0,,
graska gora,Koroška,1999,Jul,,9.0,,
hrastnik,Zasavska,1999,Jul,,6.0,,
kovk,Zasavska,1999,Jul,,7.0,4.0,13.0
kum,Zasavska,1999,Jul,,14.0,,
ljubljana b.,Osrednjeslovenska,1999,Jul,,4.0,,
ljubljana f.,Osrednjeslovenska,1999,Jul,27.0,5.0,38.0,47.0
maribor,Podravska,1999,Jul,,6.0,26.0,37.0
ravenska vas,Zasavska,1999,Jul,,34.0,,
skale,Savinjska,1999,Jul,,4.0,3.0,4.0
sostanj,Savinjska,1999,Jul,,29.0,,
topolsica,Savinjska,1999,Jul,,10.0,,
trbovlje,Zasavska,1999,Jul,33.0,9.0,21.0,35.0
velenje,Savinjska,1999,Jul,,2.0,,
veliki vrh,Savinjska,1999,Jul,,56.0,,
vnajnarje,Osrednjeslovenska,1999,Jul,,3.0,3.0,2.0
zagorje,Zasavska,1999,Jul,,4.0,,
zavodnje,Savinjska,1999,Jul,,16.0,3.0,0.0
celje,Savinjska,1999,Avg,31.0,7.0,19.0,24.0
dobovec,Zasavska,1999,Avg,,16.0,,
eis celje,Savinjska,1999,Avg,32.0,7.0,33.0,
eis krsko,Posavska,1999,Avg,,29.0,,
graska gora,Koroška,1999,Avg,,14.0,,
hrastnik,Zasavska,1999,Avg,,12.0,,
kovk,Zasavska,1999,Avg,,11.0,10.0,13.0
kum,Zasavska,1999,Avg,,4.0,,
ljubljana b.,Osrednjeslovenska,1999,Avg,,4.0,,
ljubljana f.,Osrednjeslovenska,1999,Avg,32.0,6.0,43.0,66.0
maribor,Podravska,1999,Avg,,5.0,28.0,
ravenska vas,Zasavska,1999,Avg,,69.0,,
skale,Savinjska,1999,Avg,,6.0,4.0,4.0
sostanj,Savinjska,1999,Avg,,29.0,,
topolsica,Savinjska,1999,Avg,,9.0,,
trbovlje,Zasavska,1999,Avg,38.0,11.0,19.0,30.0
velenje,Savinjska,1999,Avg,,2.0,,
veliki vrh,Savinjska,1999,Avg,,32.0,,
vnajnarje,Osrednjeslovenska,1999,Avg,,7.0,2.0,2.0
zagorje,Zasavska,1999,Avg,,24.0,,
zavodnje,Savinjska,1999,Avg,,14.0,1.0,0.0
celje,Savinjska,1999,Sep,33.0,8.0,24.0,36.0
dobovec,Zasavska,1999,Sep,,29.0,,
eis celje,Savinjska,1999,Sep,35.0,11.0,36.0,
eis krsko,Posavska,1999,Sep,,7.0,,
graska gora,Koroška,1999,Sep,,18.0,,
hrastnik,Zasavska,1999,Sep,,12.0,,
kovk,Zasavska,1999,Sep,,41.0,8.0,10.0
kum,Zasavska,1999,Sep,,14.0,,
ljubljana b.,Osrednjeslovenska,1999,Sep,,5.0,,
ljubljana f.,Osrednjeslovenska,1999,Sep,35.0,6.0,49.0,75.0
maribor,Podravska,1999,Sep,,8.0,38.0,
ravenska vas,Zasavska,1999,Sep,,56.0,,
skale,Savinjska,1999,Sep,,6.0,5.0,6.0
sostanj,Savinjska,1999,Sep,,32.0,,
topolsica,Savinjska,1999,Sep,,8.0,,
trbovlje,Zasavska,1999,Sep,43.0,8.0,21.0,39.0
velenje,Savinjska,1999,Sep,,3.0,,
veliki vrh,Savinjska,1999,Sep,,48.0,,
vnajnarje,Osrednjeslovenska,1999,Sep,,7.0,4.0,3.0
zagorje,Zasavska,1999,Sep,,16.0,,
zavodnje,Savinjska,1999,Sep,,24.0,2.0,2.0
celje,Savinjska,1999,Okt,32.0,11.0,27.0,45.0
dobovec,Zasavska,1999,Okt,,44.0,,
eis celje,Savinjska,1999,Okt,34.0,26.0,,
eis krsko,Posavska,1999,Okt,,38.0,,
graska gora,Koroška,1999,Okt,,16.0,,
hrastnik,Zasavska,1999,Okt,,22.0,,
kovk,Zasavska,1999,Okt,,27.0,6.0,9.0
kum,Zasavska,1999,Okt,,15.0,,
ljubljana b.,Osrednjeslovenska,1999,Okt,,9.0,,
ljubljana f.,Osrednjeslovenska,1999,Okt,35.0,10.0,49.0,87.0
maribor,Podravska,1999,Okt,,12.0,32.0,
ravenska vas,Zasavska,1999,Okt,,55.0,,
skale,Savinjska,1999,Okt,,9.0,6.0,7.0
sostanj,Savinjska,1999,Okt,,28.0,,
topolsica,Savinjska,1999,Okt,,10.0,,
trbovlje,Zasavska,1999,Okt,41.0,16.0,22.0,52.0
velenje,Savinjska,1999,Okt,,5.0,,
veliki vrh,Savinjska,1999,Okt,,33.0,,
vnajnarje,Osrednjeslovenska,1999,Okt,,9.0,3.0,4.0
zagorje,Zasavska,1999,Okt,,13.0,,
zavodnje,Savinjska,1999,Okt,,29.0,5.0,5.0
celje,Savinjska,1999,Nov,49.0,32.0,50.0,86.0
dobovec,Zasavska,1999,Nov,,59.0,,
eis celje,Savinjska,1999,Nov,42.0,39.0,,
eis krsko,Posavska,1999,Nov,,22.0,,
graska gora,Koroška,1999,Nov,,14.0,,
hrastnik,Zasavska,1999,Nov,,31.0,,
kovk,Zasavska,1999,Nov,,58.0,10.0,13.0
kum,Zasavska,1999,Nov,,16.0,,
ljubljana b.,Osrednjeslovenska,1999,Nov,,13.0,,
ljubljana f.,Osrednjeslovenska,1999,Nov,39.0,18.0,54.0,102.0
maribor,Podravska,1999,Nov,,23.0,36.0,
ravenska vas,Zasavska,1999,Nov,,63.0,,
skale,Savinjska,1999,Nov,,9.0,11.0,14.0
sostanj,Savinjska,1999,Nov,,17.0,,
topolsica,Savinjska,1999,Nov,,11.0,,
trbovlje,Zasavska,1999,Nov,45.0,29.0,28.0,63.0
velenje,Savinjska,1999,Nov,,10.0,,
veliki vrh,Savinjska,1999,Nov,,100.0,,
vnajnarje,Osrednjeslovenska,1999,Nov,,16.0,7.0,8.0
zagorje,Zasavska,1999,Nov,,24.0,,
zavodnje,Savinjska,1999,Nov,,56.0,9.0,11.0
celje,Savinjska,1999,Dec,39.0,39.0,46.0,98.0
dobovec,Zasavska,1999,Dec,,59.0,,
eis celje,Savinjska,1999,Dec,44.0,,,
eis krsko,Posavska,1999,Dec,,38.0,,
graska gora,Koroška,1999,Dec,,98.0,,
hrastnik,Zasavska,1999,Dec,,35.0,,
kovk,Zasavska,1999,Dec,,67.0,12.0,13.0
kum,Zasavska,1999,Dec,,9.0,,
ljubljana b.,Osrednjeslovenska,1999,Dec,,18.0,,
ljubljana f.,Osrednjeslovenska,1999,Dec,46.0,21.0,50.0,123.0
maribor,Podravska,1999,Dec,,38.0,50.0,
ravenska vas,Zasavska,1999,Dec,,54.0,,
skale,Savinjska,1999,Dec,,34.0,14.0,17.0
sostanj,Savinjska,1999,Dec,,50.0,,
topolsica,Savinjska,1999,Dec,,29.0,,
trbovlje,Zasavska,1999,Dec,42.0,33.0,34.0,69.0
velenje,Savinjska,1999,Dec,,17.0,,
veliki vrh,Savinjska,1999,Dec,,109.0,,
vnajnarje,Osrednjeslovenska,1999,Dec,,17.0,8.0,9.0
zagorje,Zasavska,1999,Dec,,33.0,,
zavodnje,Savinjska,1999,Dec,,91.0,11.0,14.0
amp gaji,Savinjska,2000,Jan,,44.0,,
celje,Savinjska,2000,Jan,66.0,51.0,110.0,116.0
dobovec,Zasavska,2000,Jan,,10.0,,
eis celje,Savinjska,2000,Jan,66.0,,134.0,
hrastnik,Zasavska,2000,Jan,,33.0,,
iskrba,Jugovzhodna Slovenija,2000,Jan,,12.0,,
koper,Obalno-kraška,2000,Jan,,28.0,,
kovk,Zasavska,2000,Jan,,16.0,26.0,12.0
kranj,Gorenjska,2000,Jan,,40.0,,
lj biotehnicna fak.,Osrednjeslovenska,2000,Jan,,36.0,,
lj center,Osrednjeslovenska,2000,Jan,,50.0,,
ljubljana bezigrad,Osrednjeslovenska,2000,Jan,,39.0,,
ljubljana f.,Osrednjeslovenska,2000,Jan,72.0,,105.0,119.0
maribor,Podravska,2000,Jan,,,99.0,129.0
maribor center,Podravska,2000,Jan,,51.0,,
ms rakican,Pomurska,2000,Jan,,54.0,,
nova gorica,Goriška,2000,Jan,,32.0,,
novo mesto,Jugovzhodna Slovenija,2000,Jan,,49.0,,
pesje,Posavska,2000,Jan,,29.0,,
prapretno,Zasavska,2000,Jan,,26.0,,
skale,Savinjska,2000,Jan,,15.0,35.0,19.0
sostanj,Savinjska,2000,Jan,,12.0,,
trbovlje,Zasavska,2000,Jan,64.0,47.0,64.0,83.0
velenje,Savinjska,2000,Jan,,31.0,,
vnajnarje,Osrednjeslovenska,2000,Jan,,17.0,18.0,8.0
vrbanski plato,Podravska,2000,Jan,,33.0,,
zagorje,Zasavska,2000,Jan,,46.0,,
zavodnje,Savinjska,2000,Jan,,,45.0,18.0
zelena trava,Zasavska,2000,Jan,,18.0,,
zerjav,Koroška,2000,Jan,,49.0,,
amp gaji,Savinjska,2000,Feb,,53.0,,
celje,Savinjska,2000,Feb,49.0,49.0,63.0,77.0
dobovec,Zasavska,2000,Feb,,16.0,,
eis celje,Savinjska,2000,Feb,59.0,,105.0,
hrastnik,Zasavska,2000,Feb,,35.0,,
iskrba,Jugovzhodna Slovenija,2000,Feb,,18.0,,
koper,Obalno-kraška,2000,Feb,,19.0,,
kovk,Zasavska,2000,Feb,,16.0,22.0,10.0
kranj,Gorenjska,2000,Feb,,39.0,,
lj biotehnicna fak.,Osrednjeslovenska,2000,Feb,,36.0,,
lj center,Osrednjeslovenska,2000,Feb,,51.0,,
ljubljana bezigrad,Osrednjeslovenska,2000,Feb,,39.0,,
ljubljana f.,Osrednjeslovenska,2000,Feb,50.0,,67.0,113.0
maribor,Podravska,2000,Feb,,,75.0,84.0
maribor center,Podravska,2000,Feb,,40.0,,
ms rakican,Pomurska,2000,Feb,,44.0,,
nova gorica,Goriška,2000,Feb,,25.0,,
novo mesto,Jugovzhodna Slovenija,2000,Feb,,51.0,,
pesje,Posavska,2000,Feb,,22.0,,
prapretno,Zasavska,2000,Feb,,28.0,,
skale,Savinjska,2000,Feb,,10.0,24.0,14.0
sostanj,Savinjska,2000,Feb,,19.0,,
trbovlje,Zasavska,2000,Feb,69.0,48.0,100.0,70.0
velenje,Savinjska,2000,Feb,,29.0,,
vnajnarje,Osrednjeslovenska,2000,Feb,,17.0,13.0,6.0
vrbanski plato,Podravska,2000,Feb,,28.0,,
zagorje,Zasavska,2000,Feb,,46.0,,
zavodnje,Savinjska,2000,Feb,,,22.0,11.0
zelena trava,Zasavska,2000,Feb,,21.0,,
zerjav,Koroška,2000,Feb,,55.0,,
amp gaji,Savinjska,2000,Mar,,30.0,,
celje,Savinjska,2000,Mar,35.0,35.0,41.0,38.0
dobovec,Zasavska,2000,Mar,,10.0,,
eis celje,Savinjska,2000,Mar,42.0,,93.0,
hrastnik,Zasavska,2000,Mar,,27.0,,
iskrba,Jugovzhodna Slovenija,2000,Mar,,13.0,,
koper,Obalno-kraška,2000,Mar,,20.0,,
kovk,Zasavska,2000,Mar,,12.0,24.0,13.0
kranj,Gorenjska,2000,Mar,,27.0,,
lj biotehnicna fak.,Osrednjeslovenska,2000,Mar,,29.0,,
lj center,Osrednjeslovenska,2000,Mar,,48.0,,
ljubljana bezigrad,Osrednjeslovenska,2000,Mar,,29.0,,
ljubljana f.,Osrednjeslovenska,2000,Mar,29.0,,45.0,51.0
maribor,Podravska,2000,Mar,,,83.0,82.0
maribor center,Podravska,2000,Mar,,34.0,,
ms rakican,Pomurska,2000,Mar,,32.0,,
nova gorica,Goriška,2000,Mar,,20.0,,
novo mesto,Jugovzhodna Slovenija,2000,Mar,,34.0,,
pesje,Posavska,2000,Mar,,,,
prapretno,Zasavska,2000,Mar,,20.0,,
skale,Savinjska,2000,Mar,,26.0,26.0,13.0
sostanj,Savinjska,2000,Mar,,15.0,,
trbovlje,Zasavska,2000,Mar,44.0,37.0,45.0,50.0
velenje,Savinjska,2000,Mar,,24.0,,
vnajnarje,Osrednjeslovenska,2000,Mar,,16.0,9.0,3.0
vrbanski plato,Podravska,2000,Mar,,22.0,,
zagorje,Zasavska,2000,Mar,,37.0,,
zavodnje,Savinjska,2000,Mar,,,32.0,11.0
zelena trava,Zasavska,2000,Mar,,15.0,,
zerjav,Koroška,2000,Mar,,27.0,,
amp gaji,Savinjska,2000,Apr,,25.0,,
celje,Savinjska,2000,Apr,32.0,28.0,35.0,26.0
dobovec,Zasavska,2000,Apr,,13.0,,
eis celje,Savinjska,2000,Apr,36.0,,57.0,
hrastnik,Zasavska,2000,Apr,,24.0,,
iskrba,Jugovzhodna Slovenija,2000,Apr,,15.0,,
koper,Obalno-kraška,2000,Apr,,22.0,,
kovk,Zasavska,2000,Apr,,16.0,14.0,8.0
kranj,Gorenjska,2000,Apr,,21.0,,
lj biotehnicna fak.,Osrednjeslovenska,2000,Apr,,25.0,,
lj center,Osrednjeslovenska,2000,Apr,,37.0,,
ljubljana bezigrad,Osrednjeslovenska,2000,Apr,,21.0,,
ljubljana f.,Osrednjeslovenska,2000,Apr,32.0,,84.0,85.0
maribor,Podravska,2000,Apr,,,52.0,59.0
maribor center,Podravska,2000,Apr,,32.0,,
ms rakican,Pomurska,2000,Apr,,27.0,,
nova gorica,Goriška,2000,Apr,,21.0,,
novo mesto,Jugovzhodna Slovenija,2000,Apr,,25.0,,
pesje,Posavska,2000,Apr,,25.0,,
prapretno,Zasavska,2000,Apr,,24.0,,
skale,Savinjska,2000,Apr,,20.0,15.0,8.0
sostanj,Savinjska,2000,Apr,,14.0,,
trbovlje,Zasavska,2000,Apr,30.0,29.0,39.0,39.0
velenje,Savinjska,2000,Apr,,25.0,,
vnajnarje,Osrednjeslovenska,2000,Apr,,20.0,6.0,3.0
vrbanski plato,Podravska,2000,Apr,,22.0,,
zagorje,Zasavska,2000,Apr,,27.0,,
zavodnje,Savinjska,2000,Apr,,,9.0,5.0
zelena trava,Zasavska,2000,Apr,,19.0,,
zerjav,Koroška,2000,Apr,,23.0,,
amp gaji,Savinjska,2000,Maj,,15.0,,
celje,Savinjska,2000,Maj,30.0,16.0,32.0,24.0
dobovec,Zasavska,2000,Maj,,13.0,,
eis celje,Savinjska,2000,Maj,35.0,,61.0,
hrastnik,Zasavska,2000,Maj,,15.0,,
iskrba,Jugovzhodna Slovenija,2000,Maj,,11.0,,
koper,Obalno-kraška,2000,Maj,,15.0,,
kovk,Zasavska,2000,Maj,,15.0,12.0,7.0
kranj,Gorenjska,2000,Maj,,13.0,,
