Postaja,Regija,Leto,Mesec,PM10,SO2,NO2,NOX
skale,Savinjska,1998,Jan,,38.0,51.0,130.0
sostanj,Savinjska,1998,Jan,,33.0,,
topolsica,Savinjska,1998,Jan,,19.0,,
trbovlje,Zasavska,1998,Jan,,49.0,32.0,70.0
velenje,Savinjska,1998,Jan,,14.0,,
veliki vrh,Savinjska,1998,Jan,,112.0,,
vnajnarje,Osrednjeslovenska,1998,Jan,,26.0,1.0,1.0
zagorje,Zasavska,1998,Jan,,36.0,,
zavodnje,Savinjska,1998,Jan,,56.0,9.0,11.0
celje,Savinjska,1998,Feb,,53.0,,
dobovec,Zasavska,1998,Feb,,61.0,,
eis celje,Savinjska,1998,Feb,,68.0,65.0,
eis krsko,Posavska,1998,Feb,,148.0,,
graska gora,Koroška,1998,Feb,,42.0,,
hrastnik,Zasavska,1998,Feb,,36.0,,
kovk,Zasavska,1998,Feb,,86.0,9.0,9.0
kum,Zasavska,1998,Feb,,22.0,,
ljubljana b.,Osrednjeslovenska,1998,Feb,,72.0,,
ljubljana f.,Osrednjeslovenska,1998,Feb,,57.0,62.0,136.0
maribor,Podravska,1998,Feb,,27.0,49.0,82.0
ravenska vas,Zasavska,1998,Feb,,87.0,,
skale,Savinjska,1998,Feb,,31.0,10.0,11.0
skale,Savinjska,1998,Feb,,31.0,10.0,199.0
skale,Savinjska,1998,Feb,,31.0,77.0,11.0
skale,Savinjska,1998,Feb,,31.0,77.0,199.0
skale,Savinjska,1998,Feb,,53.0,10.0,11.0
skale,Savinjska,1998,Feb,,53.0,10.0,199.0
skale,Savinjska,1998,Feb,,53.0,77.0,11.0
skale,Savinjska,1998,Feb,,53.0,77.0,199.0
sostanj,Savinjska,1998,Feb,,42.0,,
topolsica,Savinjska,1998,Feb,,35.0,,
trbovlje,Zasavska,1998,Feb,,72.0,41.0,87.0
velenje,Savinjska,1998,Feb,,19.0,,
veliki vrh,Savinjska,1998,Feb,,101.0,,
vnajnarje,Osrednjeslovenska,1998,Feb,,36.0,1.0,1.0
zagorje,Zasavska,1998,Feb,,44.0,,
zavodnje,Savinjska,1998,Feb,,66.0,8.0,10.0
celje,Savinjska,1998,Mar,,25.0,37.0,51.0
dobovec,Zasavska,1998,Mar,,43.0,,
eis celje,Savinjska,1998,Mar,,32.0,55.0,
eis krsko,Posavska,1998,Mar,,30.0,,
graska gora,Koroška,1998,Mar,,46.0,,
hrastnik,Zasavska,1998,Mar,,24.0,,
kovk,Zasavska,1998,Mar,,63.0,8.0,9.0
kum,Zasavska,1998,Mar,,22.0,,
ljubljana b.,Osrednjeslovenska,1998,Mar,,49.0,,
ljubljana f.,Osrednjeslovenska,1998,Mar,,42.0,61.0,86.0
maribor,Podravska,1998,Mar,,21.0,45.0,68.0
ravenska vas,Zasavska,1998,Mar,,78.0,,
skale,Savinjska,1998,Mar,,40.0,10.0,11.0
skale,Savinjska,1998,Mar,,40.0,10.0,88.0
skale,Savinjska,1998,Mar,,40.0,48.0,11.0
skale,Savinjska,1998,Mar,,40.0,48.0,88.0
skale,Savinjska,1998,Mar,,34.0,10.0,11.0
skale,Savinjska,1998,Mar,,34.0,10.0,88.0
skale,Savinjska,1998,Mar,,34.0,48.0,11.0
skale,Savinjska,1998,Mar,,34.0,48.0,88.0
sostanj,Savinjska,1998,Mar,,25.0,,
topolsica,Savinjska,1998,Mar,,28.0,,
trbovlje,Zasavska,1998,Mar,,39.0,33.0,54.0
velenje,Savinjska,1998,Mar,,15.0,,
veliki vrh,Savinjska,1998,Mar,,62.0,,
vnajnarje,Osrednjeslovenska,1998,Mar,,24.0,1.0,1.0
zagorje,Zasavska,1998,Mar,,32.0,,
zavodnje,Savinjska,1998,Mar,,46.0,6.0,7.0
celje,Savinjska,1998,Apr,,17.0,26.0,33.0
dobovec,Zasavska,1998,Apr,,27.0,,
eis celje,Savinjska,1998,Apr,,24.0,45.0,
eis krsko,Posavska,1998,Apr,,31.0,,
graska gora,Koroška,1998,Apr,,52.0,,
hrastnik,Zasavska,1998,Apr,,33.0,,
kovk,Zasavska,1998,Apr,,106.0,7.0,8.0
kum,Zasavska,1998,Apr,,16.0,,
ljubljana b.,Osrednjeslovenska,1998,Apr,,16.0,,
ljubljana f.,Osrednjeslovenska,1998,Apr,,21.0,31.0,41.0
maribor,Podravska,1998,Apr,,17.0,50.0,79.0
ravenska vas,Zasavska,1998,Apr,,52.0,,
skale,Savinjska,1998,Apr,,28.0,9.0,9.0
skale,Savinjska,1998,Apr,,28.0,9.0,81.0
skale,Savinjska,1998,Apr,,28.0,47.0,9.0
skale,Savinjska,1998,Apr,,28.0,47.0,81.0
skale,Savinjska,1998,Apr,,18.0,9.0,9.0
skale,Savinjska,1998,Apr,,18.0,9.0,81.0
skale,Savinjska,1998,Apr,,18.0,47.0,9.0
skale,Savinjska,1998,Apr,,18.0,47.0,81.0
sostanj,Savinjska,1998,Apr,,119.0,,
topolsica,Savinjska,1998,Apr,,12.0,,
trbovlje,Zasavska,1998,Apr,,21.0,29.0,44.0
velenje,Savinjska,1998,Apr,,7.0,,
veliki vrh,Savinjska,1998,Apr,,30.0,,
vnajnarje,Osrednjeslovenska,1998,Apr,,17.0,0.0,0.0
zagorje,Zasavska,1998,Apr,,14.0,,
zavodnje,Savinjska,1998,Apr,,28.0,5.0,5.0
celje,Savinjska,1998,Maj,,9.0,22.0,27.0
dobovec,Zasavska,1998,Maj,,39.0,,
eis celje,Savinjska,1998,Maj,,15.0,42.0,
eis krsko,Posavska,1998,Maj,,59.0,,
graska gora,Koroška,1998,Maj,,22.0,,
