Postaja,Regija,Datum,SO2
velenje,Savinjska,1999-06-30,8.0
skale,Savinjska,1999-06-30,14.0
eis celje,Savinjska,1999-06-30,
trbovlje,Zasavska,1999-06-30,29.0
hrastnik,Zasavska,1999-06-30,11.0
zagorje,Zasavska,1999-06-30,10.0
kovk,Zasavska,1999-06-30,18.0
dobovec,Zasavska,1999-06-30,10.0
kum,Zasavska,1999-06-30,57.0
ravenska vas,Zasavska,1999-06-30,82.0
graska gora,Koroška,1999-07-31,30.0
ljubljana f.,Osrednjeslovenska,1999-07-31,17.0
ljubljana b.,Osrednjeslovenska,1999-07-31,9.0
vnajnarje,Osrednjeslovenska,1999-07-31,15.0
maribor,Podravska,1999-07-31,13.0
eis krsko,Posavska,1999-07-31,105.0
celje,Savinjska,1999-07-31,15.0
sostanj,Savinjska,1999-07-31,340.0
topolsica,Savinjska,1999-07-31,32.0
veliki vrh,Savinjska,1999-07-31,228.0
zavodnje,Savinjska,1999-07-31,86.0
velenje,Savinjska,1999-07-31,5.0
skale,Savinjska,1999-07-31,15.0
eis celje,Savinjska,1999-07-31,10.0
trbovlje,Zasavska,1999-07-31,20.0
hrastnik,Zasavska,1999-07-31,15.0
zagorje,Zasavska,1999-07-31,14.0
kovk,Zasavska,1999-07-31,14.0
dobovec,Zasavska,1999-07-31,21.0
kum,Zasavska,1999-07-31,72.0
ravenska vas,Zasavska,1999-07-31,66.0
graska gora,Koroška,1999-08-31,84.0
ljubljana f.,Osrednjeslovenska,1999-08-31,11.0
ljubljana b.,Osrednjeslovenska,1999-08-31,11.0
vnajnarje,Osrednjeslovenska,1999-08-31,41.0
maribor,Podravska,1999-08-31,11.0
eis krsko,Posavska,1999-08-31,81.0
celje,Savinjska,1999-08-31,15.0
sostanj,Savinjska,1999-08-31,155.0
topolsica,Savinjska,1999-08-31,31.0
veliki vrh,Savinjska,1999-08-31,74.0
zavodnje,Savinjska,1999-08-31,51.0
velenje,Savinjska,1999-08-31,14.0
skale,Savinjska,1999-08-31,47.0
eis celje,Savinjska,1999-08-31,15.0
trbovlje,Zasavska,1999-08-31,55.0
hrastnik,Zasavska,1999-08-31,57.0
zagorje,Zasavska,1999-08-31,126.0
kovk,Zasavska,1999-08-31,97.0
dobovec,Zasavska,1999-08-31,91.0
kum,Zasavska,1999-08-31,13.0
ravenska vas,Zasavska,1999-08-31,251.0
graska gora,Koroška,1999-09-30,88.0
ljubljana f.,Osrednjeslovenska,1999-09-30,14.0
ljubljana b.,Osrednjeslovenska,1999-09-30,10.0
vnajnarje,Osrednjeslovenska,1999-09-30,25.0
maribor,Podravska,1999-09-30,14.0
eis krsko,Posavska,1999-09-30,137.0
celje,Savinjska,1999-09-30,22.0
sostanj,Savinjska,1999-09-30,224.0
topolsica,Savinjska,1999-09-30,25.0
veliki vrh,Savinjska,1999-09-30,220.0
zavodnje,Savinjska,1999-09-30,93.0
velenje,Savinjska,1999-09-30,9.0
skale,Savinjska,1999-09-30,21.0
eis celje,Savinjska,1999-09-30,18.0
trbovlje,Zasavska,1999-09-30,23.0
hrastnik,Zasavska,1999-09-30,41.0
zagorje,Zasavska,1999-09-30,56.0
kovk,Zasavska,1999-09-30,165.0
dobovec,Zasavska,1999-09-30,176.0
kum,Zasavska,1999-09-30,56.0
ravenska vas,Zasavska,1999-09-30,177.0
graska gora,Koroška,1999-10-31,90.0
ljubljana f.,Osrednjeslovenska,1999-10-31,25.0
ljubljana b.,Osrednjeslovenska,1999-10-31,21.0
vnajnarje,Osrednjeslovenska,1999-10-31,64.0
maribor,Podravska,1999-10-31,29.0
eis krsko,Posavska,1999-10-31,119.0
celje,Savinjska,1999-10-31,31.0
sostanj,Savinjska,1999-10-31,216.0
topolsica,Savinjska,1999-10-31,50.0
veliki vrh,Savinjska,1999-10-31,171.0
zavodnje,Savinjska,1999-10-31,133.0
velenje,Savinjska,1999-10-31,20.0
skale,Savinjska,1999-10-31,56.0
eis celje,Savinjska,1999-10-31,28.0
trbovlje,Zasavska,1999-10-31,49.0
hrastnik,Zasavska,1999-10-31,74.0
zagorje,Zasavska,1999-10-31,49.0
kovk,Zasavska,1999-10-31,181.0
dobovec,Zasavska,1999-10-31,188.0
kum,Zasavska,1999-10-31,79.0
ravenska vas,Zasavska,1999-10-31,172.0
graska gora,Koroška,1999-11-30,69.0
ljubljana f.,Osrednjeslovenska,1999-11-30,46.0
ljubljana b.,Osrednjeslovenska,1999-11-30,31.0
vnajnarje,Osrednjeslovenska,1999-11-30,41.0
maribor,Podravska,1999-11-30,48.0
eis krsko,Posavska,1999-11-30,91.0
celje,Savinjska,1999-11-30,72.0
sostanj,Savinjska,1999-11-30,86.0
topolsica,Savinjska,1999-11-30,40.0
