Postaja,Regija,Leto,Mesec,Snov,Vrednost
skale,Savinjska,1997,Sep,NO2,6.0
kovk,Zasavska,1997,Sep,NO2,3.0
vnajnarje,Osrednjeslovenska,1997,Sep,NO2,2.0
eis celje,Savinjska,1997,Sep,NO2,42.0
ljubljana f.,Osrednjeslovenska,1997,Sep,NOX,
maribor,Podravska,1997,Sep,NOX,49.0
celje,Savinjska,1997,Sep,NOX,
trbovlje,Zasavska,1997,Sep,NOX,56.0
zavodnje,Savinjska,1997,Sep,NOX,7.0
razbor,Posavska,1997,Sep,NOX,
skale,Savinjska,1997,Sep,NOX,7.0
kovk,Zasavska,1997,Sep,NOX,3.0
vnajnarje,Osrednjeslovenska,1997,Sep,NOX,2.0
ljubljana f.,Osrednjeslovenska,1997,Okt,SO2,19.0
ljubljana b.,Osrednjeslovenska,1997,Okt,SO2,25.0
maribor,Podravska,1997,Okt,SO2,22.0
celje,Savinjska,1997,Okt,SO2,27.0
trbovlje,Zasavska,1997,Okt,SO2,29.0
hrastnik,Zasavska,1997,Okt,SO2,18.0
zagorje,Zasavska,1997,Okt,SO2,24.0
sostanj,Savinjska,1997,Okt,SO2,33.0
topolsica,Savinjska,1997,Okt,SO2,17.0
veliki vrh,Savinjska,1997,Okt,SO2,43.0
zavodnje,Savinjska,1997,Okt,SO2,45.0
velenje,Savinjska,1997,Okt,SO2,7.0
graska gora,Koroška,1997,Okt,SO2,44.0
razbor,Posavska,1997,Okt,SO2,
skale,Savinjska,1997,Okt,SO2,19.0
kovk,Zasavska,1997,Okt,SO2,92.0
dobovec,Zasavska,1997,Okt,SO2,52.0
kum,Zasavska,1997,Okt,SO2,18.0
ravenska vas,Zasavska,1997,Okt,SO2,74.0
vnajnarje,Osrednjeslovenska,1997,Okt,SO2,21.0
eis celje,Savinjska,1997,Okt,SO2,27.0
eis krsko,Posavska,1997,Okt,SO2,28.0
ljubljana f.,Osrednjeslovenska,1997,Okt,NO2,
maribor,Podravska,1997,Okt,NO2,42.0
celje,Savinjska,1997,Okt,NO2,
trbovlje,Zasavska,1997,Okt,NO2,28.0
zavodnje,Savinjska,1997,Okt,NO2,8.0
razbor,Posavska,1997,Okt,NO2,
skale,Savinjska,1997,Okt,NO2,8.0
kovk,Zasavska,1997,Okt,NO2,6.0
vnajnarje,Osrednjeslovenska,1997,Okt,NO2,3.0
eis celje,Savinjska,1997,Okt,NO2,45.0
ljubljana f.,Osrednjeslovenska,1997,Okt,NOX,
maribor,Podravska,1997,Okt,NOX,77.0
celje,Savinjska,1997,Okt,NOX,
trbovlje,Zasavska,1997,Okt,NOX,59.0
zavodnje,Savinjska,1997,Okt,NOX,10.0
razbor,Posavska,1997,Okt,NOX,
