Postaja,Regija,Datum,SO2,PM10,NO2
kum,Zasavska,1998-05-31,19.0,,
ravenska vas,Zasavska,1998-05-31,102.0,,
trbovlje,Zasavska,1998-05-31,17.0,,30.0
zagorje,Zasavska,1998-05-31,24.0,,
graska gora,Koroška,1998-06-30,19.0,,
ljubljana b.,Osrednjeslovenska,1998-06-30,10.0,,
ljubljana f.,Osrednjeslovenska,1998-06-30,9.0,,28.0
vnajnarje,Osrednjeslovenska,1998-06-30,4.0,,2.0
maribor,Podravska,1998-06-30,7.0,,33.0
eis krsko,Posavska,1998-06-30,25.0,,
celje,Savinjska,1998-06-30,8.0,,18.0
eis celje,Savinjska,1998-06-30,10.0,,37.0
skale,Savinjska,1998-06-30,21.0,,7.0
skale,Savinjska,1998-06-30,21.0,,39.0
skale,Savinjska,1998-06-30,8.0,,7.0
skale,Savinjska,1998-06-30,8.0,,39.0
sostanj,Savinjska,1998-06-30,71.0,,
topolsica,Savinjska,1998-06-30,17.0,,
velenje,Savinjska,1998-06-30,7.0,,
veliki vrh,Savinjska,1998-06-30,57.0,,
zavodnje,Savinjska,1998-06-30,31.0,,5.0
dobovec,Zasavska,1998-06-30,15.0,,
hrastnik,Zasavska,1998-06-30,11.0,,
kovk,Zasavska,1998-06-30,33.0,,8.0
kum,Zasavska,1998-06-30,11.0,,
ravenska vas,Zasavska,1998-06-30,47.0,,
trbovlje,Zasavska,1998-06-30,12.0,,22.0
zagorje,Zasavska,1998-06-30,7.0,,
graska gora,Koroška,1998-07-31,25.0,,
ljubljana b.,Osrednjeslovenska,1998-07-31,12.0,,
ljubljana f.,Osrednjeslovenska,1998-07-31,8.0,,32.0
vnajnarje,Osrednjeslovenska,1998-07-31,6.0,,2.0
maribor,Podravska,1998-07-31,6.0,,32.0
eis krsko,Posavska,1998-07-31,36.0,,
celje,Savinjska,1998-07-31,8.0,,22.0
eis celje,Savinjska,1998-07-31,8.0,,38.0
skale,Savinjska,1998-07-31,10.0,,5.0
skale,Savinjska,1998-07-31,10.0,,26.0
skale,Savinjska,1998-07-31,6.0,,5.0
skale,Savinjska,1998-07-31,6.0,,26.0
sostanj,Savinjska,1998-07-31,31.0,,
topolsica,Savinjska,1998-07-31,31.0,,
velenje,Savinjska,1998-07-31,6.0,,
veliki vrh,Savinjska,1998-07-31,36.0,,
zavodnje,Savinjska,1998-07-31,27.0,,5.0
dobovec,Zasavska,1998-07-31,67.0,,
hrastnik,Zasavska,1998-07-31,24.0,,
kovk,Zasavska,1998-07-31,63.0,,5.0
kum,Zasavska,1998-07-31,13.0,,
ravenska vas,Zasavska,1998-07-31,93.0,,
trbovlje,Zasavska,1998-07-31,23.0,,23.0
zagorje,Zasavska,1998-07-31,18.0,,
graska gora,Koroška,1998-08-31,12.0,,
ljubljana b.,Osrednjeslovenska,1998-08-31,12.0,,
ljubljana f.,Osrednjeslovenska,1998-08-31,10.0,,32.0
vnajnarje,Osrednjeslovenska,1998-08-31,10.0,,1.0
maribor,Podravska,1998-08-31,8.0,,26.0
eis krsko,Posavska,1998-08-31,22.0,,
celje,Savinjska,1998-08-31,11.0,,
eis celje,Savinjska,1998-08-31,4.0,,
skale,Savinjska,1998-08-31,4.0,,4.0
skale,Savinjska,1998-08-31,4.0,,26.0
skale,Savinjska,1998-08-31,7.0,,4.0
skale,Savinjska,1998-08-31,7.0,,26.0
sostanj,Savinjska,1998-08-31,17.0,,
topolsica,Savinjska,1998-08-31,15.0,,
velenje,Savinjska,1998-08-31,4.0,,
veliki vrh,Savinjska,1998-08-31,35.0,,
zavodnje,Savinjska,1998-08-31,30.0,,5.0
dobovec,Zasavska,1998-08-31,57.0,,
hrastnik,Zasavska,1998-08-31,15.0,,
kovk,Zasavska,1998-08-31,25.0,,4.0
kum,Zasavska,1998-08-31,9.0,,
ravenska vas,Zasavska,1998-08-31,124.0,,
trbovlje,Zasavska,1998-08-31,18.0,,23.0
zagorje,Zasavska,1998-08-31,37.0,,
graska gora,Koroška,1998-09-30,28.0,,
ljubljana b.,Osrednjeslovenska,1998-09-30,10.0,,
ljubljana f.,Osrednjeslovenska,1998-09-30,6.0,,35.0
vnajnarje,Osrednjeslovenska,1998-09-30,6.0,,4.0
maribor,Podravska,1998-09-30,8.0,,36.0
eis krsko,Posavska,1998-09-30,14.0,,
celje,Savinjska,1998-09-30,10.0,,20.0
eis celje,Savinjska,1998-09-30,12.0,,
skale,Savinjska,1998-09-30,10.0,,6.0
skale,Savinjska,1998-09-30,10.0,,60.0
skale,Savinjska,1998-09-30,6.0,,6.0
skale,Savinjska,1998-09-30,6.0,,60.0
sostanj,Savinjska,1998-09-30,53.0,,
topolsica,Savinjska,1998-09-30,14.0,,
velenje,Savinjska,1998-09-30,5.0,,
veliki vrh,Savinjska,1998-09-30,35.0,,
zavodnje,Savinjska,1998-09-30,24.0,,5.0
dobovec,Zasavska,1998-09-30,37.0,,
hrastnik,Zasavska,1998-09-30,17.0,,
kovk,Zasavska,1998-09-30,42.0,,5.0
kum,Zasavska,1998-09-30,13.0,,
ravenska vas,Zasavska,1998-09-30,72.0,,
trbovlje,Zasavska,1998-09-30,18.0,,23.0
zagorje,Zasavska,1998-09-30,18.0,,
graska gora,Koroška,1998-10-31,53.0,,
ljubljana b.,Osrednjeslovenska,1998-10-31,20.0,,
ljubljana f.,Osrednjeslovenska,1998-10-31,15.0,,44.0
vnajnarje,Osrednjeslovenska,1998-10-31,12.0,,5.0
maribor,Podravska,1998-10-31,15.0,,36.0
eis krsko,Posavska,1998-10-31,13.0,,
celje,Savinjska,1998-10-31,14.0,,23.0
eis celje,Savinjska,1998-10-31,27.0,,48.0
skale,Savinjska,1998-10-31,15.0,,8.0
skale,Savinjska,1998-10-31,15.0,,40.0
skale,Savinjska,1998-10-31,13.0,,8.0
skale,Savinjska,1998-10-31,13.0,,40.0
sostanj,Savinjska,1998-10-31,28.0,,
topolsica,Savinjska,1998-10-31,9.0,,
velenje,Savinjska,1998-10-31,6.0,,
veliki vrh,Savinjska,1998-10-31,41.0,,
zavodnje,Savinjska,1998-10-31,46.0,,7.0
dobovec,Zasavska,1998-10-31,65.0,,
hrastnik,Zasavska,1998-10-31,23.0,,
kovk,Zasavska,1998-10-31,34.0,,5.0
kum,Zasavska,1998-10-31,14.0,,
ravenska vas,Zasavska,1998-10-31,57.0,,
trbovlje,Zasavska,1998-10-31,17.0,,24.0
zagorje,Zasavska,1998-10-31,13.0,,
graska gora,Koroška,1998-11-30,21.0,,
ljubljana b.,Osrednjeslovenska,1998-11-30,43.0,,
ljubljana f.,Osrednjeslovenska,1998-11-30,29.0,,47.0
vnajnarje,Osrednjeslovenska,1998-11-30,35.0,,5.0
maribor,Podravska,1998-11-30,22.0,,36.0
eis krsko,Posavska,1998-11-30,16.0,,
celje,Savinjska,1998-11-30,29.0,,32.0
eis celje,Savinjska,1998-11-30,57.0,,54.0
skale,Savinjska,1998-11-30,12.0,,9.0
skale,Savinjska,1998-11-30,12.0,,46.0
skale,Savinjska,1998-11-30,31.0,,9.0
skale,Savinjska,1998-11-30,31.0,,46.0
sostanj,Savinjska,1998-11-30,43.0,,
topolsica,Savinjska,1998-11-30,13.0,,
velenje,Savinjska,1998-11-30,10.0,,
veliki vrh,Savinjska,1998-11-30,89.0,,
zavodnje,Savinjska,1998-11-30,32.0,,7.0
dobovec,Zasavska,1998-11-30,64.0,,
hrastnik,Zasavska,1998-11-30,41.0,,
