Postaja,Regija,Datum,SO2,PM10,NO2
lj biotehniska,Osrednjeslovenska,2017-09-30,,13.0,
lj center,Osrednjeslovenska,2017-09-30,1.0,23.0,41.0
lj gospodarsko,Osrednjeslovenska,2017-09-30,,17.0,
vnajnarje,Osrednjeslovenska,2017-09-30,6.0,15.0,16.0
maribor,Podravska,2017-09-30,,16.0,23.0
mb vrbanski,Podravska,2017-09-30,,10.0,9.0
miklavz,Podravska,2017-09-30,,13.0,
ptuj,Podravska,2017-09-30,,12.0,
rusa,Podravska,2017-09-30,,10.0,
ms rakican,Pomurska,2017-09-30,,14.0,20.0
pesje,Posavska,2017-09-30,8.0,12.0,
ce gaji,Savinjska,2017-09-30,4.0,8.0,18.0
ce mariborska,Savinjska,2017-09-30,,17.0,
celje,Savinjska,2017-09-30,2.0,15.0,21.0
skale,Savinjska,2017-09-30,6.0,12.0,7.0
sostanj,Savinjska,2017-09-30,1.0,15.0,14.0
sv. mohor,Savinjska,2017-09-30,3.0,,4.0
topolsica,Savinjska,2017-09-30,4.0,,
velenje,Savinjska,2017-09-30,5.0,12.0,
veliki vrh,Savinjska,2017-09-30,3.0,,
zavodnje,Savinjska,2017-09-30,2.0,,3.0
dobovec,Zasavska,2017-09-30,,,
hrastnik,Zasavska,2017-09-30,6.0,13.0,
kovk,Zasavska,2017-09-30,,,
kum,Zasavska,2017-09-30,,,
prapretno,Zasavska,2017-09-30,,,
ravenska vas,Zasavska,2017-09-30,,,
trbovlje,Zasavska,2017-09-30,4.0,28.0,18.0
zagorje,Zasavska,2017-09-30,3.0,15.0,19.0
kranj,Gorenjska,2017-10-31,,25.0,
gorenje polje,Goriška,2017-10-31,,25.0,
morsko,Goriška,2017-10-31,,23.0,
ng grcna,Goriška,2017-10-31,,32.0,
nova gorica,Goriška,2017-10-31,,29.0,33.0
iskrba,Jugovzhodna Slovenija,2017-10-31,0.1,12.0,1.0
novo mesto,Jugovzhodna Slovenija,2017-10-31,,24.0,
graska gora,Koroška,2017-10-31,5.0,,
zerjav,Koroška,2017-10-31,,22.0,
koper,Obalno-kraška,2017-10-31,,28.0,18.0
lj bezigrad,Osrednjeslovenska,2017-10-31,3.0,26.0,36.0
lj biotehniska,Osrednjeslovenska,2017-10-31,,24.0,
lj center,Osrednjeslovenska,2017-10-31,2.0,23.0,50.0
lj gospodarsko,Osrednjeslovenska,2017-10-31,,32.0,
vnajnarje,Osrednjeslovenska,2017-10-31,7.0,22.0,17.0
maribor,Podravska,2017-10-31,,26.0,29.0
mb vrbanski,Podravska,2017-10-31,,16.0,13.0
miklavz,Podravska,2017-10-31,,27.0,
ptuj,Podravska,2017-10-31,,23.0,
rusa,Podravska,2017-10-31,,18.0,
ms rakican,Pomurska,2017-10-31,,28.0,18.0
pesje,Posavska,2017-10-31,7.0,19.0,
ce gaji,Savinjska,2017-10-31,6.0,24.0,23.0
ce mariborska,Savinjska,2017-10-31,,33.0,
celje,Savinjska,2017-10-31,4.0,29.0,30.0
skale,Savinjska,2017-10-31,7.0,18.0,3.0
sostanj,Savinjska,2017-10-31,3.0,25.0,17.0
sv. mohor,Savinjska,2017-10-31,3.0,,6.0
topolsica,Savinjska,2017-10-31,5.0,,
velenje,Savinjska,2017-10-31,4.0,23.0,
veliki vrh,Savinjska,2017-10-31,5.0,,
zavodnje,Savinjska,2017-10-31,3.0,,6.0
dobovec,Zasavska,2017-10-31,,,
hrastnik,Zasavska,2017-10-31,5.0,24.0,
kovk,Zasavska,2017-10-31,,,
kum,Zasavska,2017-10-31,,,
prapretno,Zasavska,2017-10-31,,,
ravenska vas,Zasavska,2017-10-31,,,
trbovlje,Zasavska,2017-10-31,4.0,31.0,26.0
zagorje,Zasavska,2017-10-31,1.0,30.0,26.0
kranj,Gorenjska,2017-11-30,,28.0,
gorenje polje,Goriška,2017-11-30,,19.0,
morsko,Goriška,2017-11-30,,16.0,
ng grcna,Goriška,2017-11-30,,27.0,
nova gorica,Goriška,2017-11-30,,26.0,37.0
iskrba,Jugovzhodna Slovenija,2017-11-30,0.2,8.0,3.0
novo mesto,Jugovzhodna Slovenija,2017-11-30,,30.0,
graska gora,Koroška,2017-11-30,5.0,,
zerjav,Koroška,2017-11-30,,24.0,
koper,Obalno-kraška,2017-11-30,,17.0,20.0
lj bezigrad,Osrednjeslovenska,2017-11-30,4.0,26.0,36.0
lj biotehniska,Osrednjeslovenska,2017-11-30,,25.0,
lj center,Osrednjeslovenska,2017-11-30,1.0,26.0,46.0
lj gospodarsko,Osrednjeslovenska,2017-11-30,,31.0,
vnajnarje,Osrednjeslovenska,2017-11-30,6.0,16.0,17.0
maribor,Podravska,2017-11-30,,26.0,27.0
mb vrbanski,Podravska,2017-11-30,,17.0,17.0
miklavz,Podravska,2017-11-30,,33.0,
ptuj,Podravska,2017-11-30,,25.0,
rusa,Podravska,2017-11-30,,18.0,
ms rakican,Pomurska,2017-11-30,,32.0,22.0
pesje,Posavska,2017-11-30,6.0,13.0,
ce gaji,Savinjska,2017-11-30,9.0,30.0,28.0
ce mariborska,Savinjska,2017-11-30,,36.0,
celje,Savinjska,2017-11-30,7.0,33.0,31.0
skale,Savinjska,2017-11-30,8.0,15.0,9.0
sostanj,Savinjska,2017-11-30,3.0,23.0,17.0
sv. mohor,Savinjska,2017-11-30,3.0,,9.0
topolsica,Savinjska,2017-11-30,6.0,,
velenje,Savinjska,2017-11-30,4.0,19.0,
veliki vrh,Savinjska,2017-11-30,4.0,,
zavodnje,Savinjska,2017-11-30,4.0,,7.0
dobovec,Zasavska,2017-11-30,,,
hrastnik,Zasavska,2017-11-30,5.0,23.0,
kovk,Zasavska,2017-11-30,,,
kum,Zasavska,2017-11-30,,,
prapretno,Zasavska,2017-11-30,,,
ravenska vas,Zasavska,2017-11-30,,,
trbovlje,Zasavska,2017-11-30,6.0,32.0,29.0
zagorje,Zasavska,2017-11-30,1.0,32.0,27.0
kranj,Gorenjska,2017-12-31,,35.0,
gorenje polje,Goriška,2017-12-31,,24.0,
morsko,Goriška,2017-12-31,,22.0,
ng grcna,Goriška,2017-12-31,,29.0,
nova gorica,Goriška,2017-12-31,,30.0,43.0
iskrba,Jugovzhodna Slovenija,2017-12-31,0.1,7.0,3.0
novo mesto,Jugovzhodna Slovenija,2017-12-31,,31.0,
graska gora,Koroška,2017-12-31,6.0,,
zerjav,Koroška,2017-12-31,,30.0,
koper,Obalno-kraška,2017-12-31,,21.0,27.0
lj bezigrad,Osrednjeslovenska,2017-12-31,7.0,34.0,43.0
lj biotehniska,Osrednjeslovenska,2017-12-31,,37.0,
lj center,Osrednjeslovenska,2017-12-31,2.0,44.0,59.0
lj gospodarsko,Osrednjeslovenska,2017-12-31,,39.0,
vnajnarje,Osrednjeslovenska,2017-12-31,5.0,17.0,20.0
maribor,Podravska,2017-12-31,,25.0,29.0
mb vrbanski,Podravska,2017-12-31,,15.0,17.0
miklavz,Podravska,2017-12-31,,35.0,
ptuj,Podravska,2017-12-31,,26.0,
rusa,Podravska,2017-12-31,,16.0,
ms rakican,Pomurska,2017-12-31,,34.0,24.0
pesje,Posavska,2017-12-31,5.0,11.0,
ce gaji,Savinjska,2017-12-31,11.0,33.0,32.0
ce mariborska,Savinjska,2017-12-31,,39.0,
celje,Savinjska,2017-12-31,9.0,36.0,36.0
skale,Savinjska,2017-12-31,9.0,12.0,11.0
sostanj,Savinjska,2017-12-31,2.0,18.0,19.0
sv. mohor,Savinjska,2017-12-31,2.0,,12.0
topolsica,Savinjska,2017-12-31,6.0,,
velenje,Savinjska,2017-12-31,4.0,15.0,
veliki vrh,Savinjska,2017-12-31,6.0,,
zavodnje,Savinjska,2017-12-31,3.0,,8.0
dobovec,Zasavska,2017-12-31,,,
hrastnik,Zasavska,2017-12-31,5.0,25.0,
kovk,Zasavska,2017-12-31,,,
kum,Zasavska,2017-12-31,,,
prapretno,Zasavska,2017-12-31,,,
ravenska vas,Zasavska,2017-12-31,,,
trbovlje,Zasavska,2017-12-31,5.0,40.0,32.0
zagorje,Zasavska,2017-12-31,2.0,36.0,26.0
kranj,Gorenjska,2018-01-31,,24.0,
gorenje polje,Goriška,2018-01-31,,26.0,
morsko,Goriška,2018-01-31,,23.0,
ng grcna,Goriška,2018-01-31,,34.0,
nova gorica,Goriška,2018-01-31,,33.0,39.0
iskrba,Jugovzhodna Slovenija,2018-01-31,,9.0,3.0
novo mesto,Jugovzhodna Slovenija,2018-01-31,,30.0,
graska gora,Koroška,2018-01-31,5.0,,
zerjav,Koroška,2018-01-31,,27.0,
koper,Obalno-kraška,2018-01-31,,24.0,24.0
lj bezigrad,Osrednjeslovenska,2018-01-31,6.0,28.0,36.0
lj biotehniska,Osrednjeslovenska,2018-01-31,,21.0,
lj center,Osrednjeslovenska,2018-01-31,2.0,37.0,51.0
lj gospodarsko,Osrednjeslovenska,2018-01-31,,28.0,
medvode,Osrednjeslovenska,2018-01-31,,,
vnajnarje,Osrednjeslovenska,2018-01-31,8.0,,
maribor,Podravska,2018-01-31,,33.0,27.0
mb vrbanski,Podravska,2018-01-31,,21.0,23.0
miklavz,Podravska,2018-01-31,,30.0,
ptuj,Podravska,2018-01-31,,22.0,
ruse,Podravska,2018-01-31,,25.0,
ms cankarjeva,Pomurska,2018-01-31,,40.0,
ms rakican,Pomurska,2018-01-31,,32.0,19.0
pesje,Posavska,2018-01-31,6.0,15.0,
ce gaji,Savinjska,2018-01-31,10.0,35.0,27.0
ce mariborska,Savinjska,2018-01-31,,35.0,
celje,Savinjska,2018-01-31,7.0,33.0,30.0
skale,Savinjska,2018-01-31,10.0,14.0,11.0
sostanj,Savinjska,2018-01-31,3.0,21.0,18.0
sv. mohor,Savinjska,2018-01-31,3.0,,9.0
topolsica,Savinjska,2018-01-31,6.0,,
velenje,Savinjska,2018-01-31,5.0,20.0,
veliki vrh,Savinjska,2018-01-31,5.0,,
zavodnje,Savinjska,2018-01-31,3.0,,8.0
hrastnik,Zasavska,2018-01-31,3.0,21.0,
trbovlje,Zasavska,2018-01-31,4.0,29.0,22.0
zagorje,Zasavska,2018-01-31,3.0,32.0,23.0
kranj,Gorenjska,2018-02-28,,40.0,
gorenje polje,Goriška,2018-02-28,,16.0,
morsko,Goriška,2018-02-28,,15.0,
ng grcna,Goriška,2018-02-28,,25.0,
nova gorica,Goriška,2018-02-28,,20.0,27.0
iskrba,Jugovzhodna Slovenija,2018-02-28,,15.0,3.0
novo mesto,Jugovzhodna Slovenija,2018-02-28,,36.0,
graska gora,Koroška,2018-02-28,6.0,,
zerjav,Koroška,2018-02-28,,27.0,
koper,Obalno-kraška,2018-02-28,,16.0,17.0
lj bezigrad,Osrednjeslovenska,2018-02-28,5.0,35.0,37.0
lj biotehniska,Osrednjeslovenska,2018-02-28,,27.0,
lj center,Osrednjeslovenska,2018-02-28,1.0,41.0,62.0
lj gospodarsko,Osrednjeslovenska,2018-02-28,,31.0,
medvode,Osrednjeslovenska,2018-02-28,,,
vnajnarje,Osrednjeslovenska,2018-02-28,12.0,,
maribor,Podravska,2018-02-28,,39.0,29.0
mb vrbanski,Podravska,2018-02-28,,28.0,19.0
miklavz,Podravska,2018-02-28,,42.0,
ptuj,Podravska,2018-02-28,,35.0,
ruse,Podravska,2018-02-28,,31.0,
ms cankarjeva,Pomurska,2018-02-28,,44.0,
ms rakican,Pomurska,2018-02-28,,37.0,17.0
pesje,Posavska,2018-02-28,9.0,20.0,
ce gaji,Savinjska,2018-02-28,9.0,37.0,30.0
ce mariborska,Savinjska,2018-02-28,,45.0,
celje,Savinjska,2018-02-28,9.0,42.0,39.0
skale,Savinjska,2018-02-28,10.0,20.0,12.0
sostanj,Savinjska,2018-02-28,7.0,27.0,19.0
sv. mohor,Savinjska,2018-02-28,4.0,,10.0
topolsica,Savinjska,2018-02-28,3.0,,
velenje,Savinjska,2018-02-28,4.0,26.0,
veliki vrh,Savinjska,2018-02-28,11.0,,
zavodnje,Savinjska,2018-02-28,3.0,,7.0
hrastnik,Zasavska,2018-02-28,4.0,27.0,
trbovlje,Zasavska,2018-02-28,4.0,34.0,25.0
zagorje,Zasavska,2018-02-28,3.0,38.0,32.0
kranj,Gorenjska,2018-03-31,,37.0,
gorenje polje,Goriška,2018-03-31,,22.0,
morsko,Goriška,2018-03-31,,21.0,
ng grcna,Goriška,2018-03-31,,26.0,
nova gorica,Goriška,2018-03-31,,24.0,22.0
iskrba,Jugovzhodna Slovenija,2018-03-31,1.0,17.0,3.0
novo mesto,Jugovzhodna Slovenija,2018-03-31,,37.0,
graska gora,Koroška,2018-03-31,8.0,,
zerjav,Koroška,2018-03-31,,32.0,
koper,Obalno-kraška,2018-03-31,,21.0,24.0
lj bezigrad,Osrednjeslovenska,2018-03-31,5.0,32.0,32.0
lj biotehniska,Osrednjeslovenska,2018-03-31,,28.0,
lj center,Osrednjeslovenska,2018-03-31,0.0,42.0,62.0
lj gospodarsko,Osrednjeslovenska,2018-03-31,,31.0,
medvode,Osrednjeslovenska,2018-03-31,,28.0,
vnajnarje,Osrednjeslovenska,2018-03-31,,,
maribor,Podravska,2018-03-31,,39.0,31.0
mb vrbanski,Podravska,2018-03-31,,29.0,24.0
miklavz,Podravska,2018-03-31,,36.0,
ptuj,Podravska,2018-03-31,,33.0,
ruse,Podravska,2018-03-31,,32.0,
ms cankarjeva,Pomurska,2018-03-31,,44.0,
ms rakican,Pomurska,2018-03-31,,36.0,15.0
pesje,Posavska,2018-03-31,10.0,24.0,
ce gaji,Savinjska,2018-03-31,8.0,39.0,26.0
ce mariborska,Savinjska,2018-03-31,,44.0,
celje,Savinjska,2018-03-31,11.0,39.0,34.0
skale,Savinjska,2018-03-31,10.0,23.0,12.0
sostanj,Savinjska,2018-03-31,2.0,29.0,14.0
sv. mohor,Savinjska,2018-03-31,5.0,,9.0
topolsica,Savinjska,2018-03-31,2.0,,
velenje,Savinjska,2018-03-31,5.0,25.0,
veliki vrh,Savinjska,2018-03-31,5.0,,
zavodnje,Savinjska,2018-03-31,6.0,,8.0
hrastnik,Zasavska,2018-03-31,4.0,29.0,
trbovlje,Zasavska,2018-03-31,6.0,34.0,22.0
zagorje,Zasavska,2018-03-31,4.0,37.0,25.0
kranj,Gorenjska,2018-04-30,,21.0,
gorenje polje,Goriška,2018-04-30,,18.0,
morsko,Goriška,2018-04-30,,17.0,
ng grcna,Goriška,2018-04-30,,24.0,
nova gorica,Goriška,2018-04-30,,20.0,23.0
iskrba,Jugovzhodna Slovenija,2018-04-30,1.0,15.0,2.0
novo mesto,Jugovzhodna Slovenija,2018-04-30,,19.0,
graska gora,Koroška,2018-04-30,6.0,,
zerjav,Koroška,2018-04-30,,23.0,
koper,Obalno-kraška,2018-04-30,,19.0,22.0
lj bezigrad,Osrednjeslovenska,2018-04-30,2.0,21.0,22.0
lj biotehniska,Osrednjeslovenska,2018-04-30,,18.0,
lj center,Osrednjeslovenska,2018-04-30,1.0,38.0,52.0
lj gospodarsko,Osrednjeslovenska,2018-04-30,,20.0,
medvode,Osrednjeslovenska,2018-04-30,,22.0,
vnajnarje,Osrednjeslovenska,2018-04-30,,,
maribor,Podravska,2018-04-30,,23.0,22.0
mb vrbanski,Podravska,2018-04-30,,18.0,
miklavz,Podravska,2018-04-30,,20.0,
ptuj,Podravska,2018-04-30,,20.0,
ruse,Podravska,2018-04-30,,18.0,
ms cankarjeva,Pomurska,2018-04-30,,25.0,
ms rakican,Pomurska,2018-04-30,,20.0,10.0
pesje,Posavska,2018-04-30,10.0,19.0,
ce gaji,Savinjska,2018-04-30,5.0,21.0,16.0
ce mariborska,Savinjska,2018-04-30,,25.0,
celje,Savinjska,2018-04-30,6.0,23.0,24.0
skale,Savinjska,2018-04-30,8.0,18.0,5.0
sostanj,Savinjska,2018-04-30,2.0,18.0,9.0
sv. mohor,Savinjska,2018-04-30,4.0,,4.0
topolsica,Savinjska,2018-04-30,3.0,,
velenje,Savinjska,2018-04-30,4.0,18.0,
veliki vrh,Savinjska,2018-04-30,2.0,,
zavodnje,Savinjska,2018-04-30,3.0,,3.0
hrastnik,Zasavska,2018-04-30,4.0,19.0,
trbovlje,Zasavska,2018-04-30,4.0,22.0,15.0
zagorje,Zasavska,2018-04-30,4.0,23.0,18.0
kranj,Gorenjska,2018-05-31,,15.0,
gorenje polje,Goriška,2018-05-31,,16.0,
morsko,Goriška,2018-05-31,,15.0,
ng grcna,Goriška,2018-05-31,,20.0,
nova gorica,Goriška,2018-05-31,,17.0,21.0
iskrba,Jugovzhodna Slovenija,2018-05-31,1.0,15.0,2.0
novo mesto,Jugovzhodna Slovenija,2018-05-31,,24.0,
graska gora,Koroška,2018-05-31,3.0,,
zerjav,Koroška,2018-05-31,,20.0,
koper,Obalno-kraška,2018-05-31,,17.0,15.0
lj bezigrad,Osrednjeslovenska,2018-05-31,2.0,22.0,20.0
lj biotehniska,Osrednjeslovenska,2018-05-31,,16.0,
lj center,Osrednjeslovenska,2018-05-31,1.0,29.0,31.0
lj gospodarsko,Osrednjeslovenska,2018-05-31,,18.0,
medvode,Osrednjeslovenska,2018-05-31,,19.0,
vnajnarje,Osrednjeslovenska,2018-05-31,,,
maribor,Podravska,2018-05-31,,22.0,19.0
mb vrbanski,Podravska,2018-05-31,,19.0,9.0
miklavz,Podravska,2018-05-31,,20.0,
ptuj,Podravska,2018-05-31,,19.0,
ruse,Podravska,2018-05-31,,17.0,
ms cankarjeva,Pomurska,2018-05-31,,19.0,
ms rakican,Pomurska,2018-05-31,,17.0,8.0
pesje,Posavska,2018-05-31,8.0,18.0,
ce gaji,Savinjska,2018-05-31,4.0,19.0,10.0
ce mariborska,Savinjska,2018-05-31,,21.0,
celje,Savinjska,2018-05-31,8.0,20.0,19.0
skale,Savinjska,2018-05-31,3.0,16.0,4.0
sostanj,Savinjska,2018-05-31,3.0,17.0,8.0
sv. mohor,Savinjska,2018-05-31,5.0,,4.0
topolsica,Savinjska,2018-05-31,6.0,,
velenje,Savinjska,2018-05-31,4.0,16.0,
veliki vrh,Savinjska,2018-05-31,10.0,,
zavodnje,Savinjska,2018-05-31,4.0,,4.0
hrastnik,Zasavska,2018-05-31,4.0,17.0,
trbovlje,Zasavska,2018-05-31,5.0,17.0,13.0
zagorje,Zasavska,2018-05-31,4.0,20.0,15.0
kranj,Gorenjska,2018-06-30,,13.0,
gorenje polje,Goriška,2018-06-30,,14.0,
morsko,Goriška,2018-06-30,,12.0,
ng grcna,Goriška,2018-06-30,,17.0,
nova gorica,Goriška,2018-06-30,,14.0,19.0
iskrba,Jugovzhodna Slovenija,2018-06-30,1.0,13.0,1.0
novo mesto,Jugovzhodna Slovenija,2018-06-30,,15.0,
graska gora,Koroška,2018-06-30,4.0,,
zerjav,Koroška,2018-06-30,,15.0,
koper,Obalno-kraška,2018-06-30,,14.0,13.0
lj bezigrad,Osrednjeslovenska,2018-06-30,2.0,19.0,17.0
lj biotehniska,Osrednjeslovenska,2018-06-30,,15.0,
lj center,Osrednjeslovenska,2018-06-30,0.0,25.0,24.0
lj gospodarsko,Osrednjeslovenska,2018-06-30,,14.0,
medvode,Osrednjeslovenska,2018-06-30,,18.0,
vnajnarje,Osrednjeslovenska,2018-06-30,,,
maribor,Podravska,2018-06-30,,19.0,15.0
mb vrbanski,Podravska,2018-06-30,,17.0,8.0
miklavz,Podravska,2018-06-30,,18.0,
ptuj,Podravska,2018-06-30,,17.0,
ruse,Podravska,2018-06-30,,14.0,
ms cankarjeva,Pomurska,2018-06-30,,14.0,
ms rakican,Pomurska,2018-06-30,,15.0,6.0
pesje,Posavska,2018-06-30,9.0,16.0,
ce gaji,Savinjska,2018-06-30,6.0,14.0,11.0
ce mariborska,Savinjska,2018-06-30,,18.0,
celje,Savinjska,2018-06-30,8.0,16.0,17.0
skale,Savinjska,2018-06-30,3.0,14.0,4.0
sostanj,Savinjska,2018-06-30,3.0,16.0,9.0
sv. mohor,Savinjska,2018-06-30,6.0,,3.0
topolsica,Savinjska,2018-06-30,3.0,,
velenje,Savinjska,2018-06-30,5.0,13.0,
veliki vrh,Savinjska,2018-06-30,14.0,,
zavodnje,Savinjska,2018-06-30,3.0,,3.0
hrastnik,Zasavska,2018-06-30,1.0,14.0,
trbovlje,Zasavska,2018-06-30,6.0,14.0,10.0
zagorje,Zasavska,2018-06-30,4.0,17.0,15.0
kranj,Gorenjska,2018-07-31,,14.0,
gorenje polje,Goriška,2018-07-31,,14.0,
morsko,Goriška,2018-07-31,,13.0,
ng grcna,Goriška,2018-07-31,,16.0,
nova gorica,Goriška,2018-07-31,,14.0,20.0
iskrba,Jugovzhodna Slovenija,2018-07-31,0.0,13.0,1.0
novo mesto,Jugovzhodna Slovenija,2018-07-31,,14.0,
graska gora,Koroška,2018-07-31,5.0,,
zerjav,Koroška,2018-07-31,,16.0,
koper,Obalno-kraška,2018-07-31,,15.0,13.0
lj bezigrad,Osrednjeslovenska,2018-07-31,2.0,19.0,17.0
lj biotehniska,Osrednjeslovenska,2018-07-31,,15.0,
lj center,Osrednjeslovenska,2018-07-31,1.0,25.0,
lj gospodarsko,Osrednjeslovenska,2018-07-31,,15.0,
medvode,Osrednjeslovenska,2018-07-31,,19.0,
vnajnarje,Osrednjeslovenska,2018-07-31,,,
maribor,Podravska,2018-07-31,,16.0,13.0
mb vrbanski,Podravska,2018-07-31,,16.0,7.0
miklavz,Podravska,2018-07-31,,19.0,
ptuj,Podravska,2018-07-31,,18.0,
ruse,Podravska,2018-07-31,,15.0,
ms cankarjeva,Pomurska,2018-07-31,,15.0,
ms rakican,Pomurska,2018-07-31,,16.0,7.0
pesje,Posavska,2018-07-31,1.0,16.0,
ce gaji,Savinjska,2018-07-31,6.0,13.0,10.0
ce mariborska,Savinjska,2018-07-31,,17.0,
celje,Savinjska,2018-07-31,9.0,16.0,16.0
skale,Savinjska,2018-07-31,2.0,15.0,4.0
sostanj,Savinjska,2018-07-31,2.0,17.0,9.0
sv. mohor,Savinjska,2018-07-31,5.0,,3.0
topolsica,Savinjska,2018-07-31,3.0,,
velenje,Savinjska,2018-07-31,6.0,14.0,
veliki vrh,Savinjska,2018-07-31,9.0,,
zavodnje,Savinjska,2018-07-31,1.0,,3.0
hrastnik,Zasavska,2018-07-31,1.0,14.0,
trbovlje,Zasavska,2018-07-31,3.0,14.0,10.0
zagorje,Zasavska,2018-07-31,4.0,19.0,13.0
kranj,Gorenjska,2018-08-31,,17.0,
gorenje polje,Goriška,2018-08-31,,12.0,
morsko,Goriška,2018-08-31,,12.0,
ng grcna,Goriška,2018-08-31,,18.0,
nova gorica,Goriška,2018-08-31,,16.0,19.0
iskrba,Jugovzhodna Slovenija,2018-08-31,1.0,13.0,1.0
novo mesto,Jugovzhodna Slovenija,2018-08-31,,17.0,
graska gora,Koroška,2018-08-31,5.0,,
zerjav,Koroška,2018-08-31,,18.0,
koper,Obalno-kraška,2018-08-31,,17.0,14.0
lj bezigrad,Osrednjeslovenska,2018-08-31,1.0,22.0,19.0
lj biotehniska,Osrednjeslovenska,2018-08-31,,17.0,
lj center,Osrednjeslovenska,2018-08-31,1.0,28.0,
lj gospodarsko,Osrednjeslovenska,2018-08-31,,18.0,
medvode,Osrednjeslovenska,2018-08-31,,21.0,
vnajnarje,Osrednjeslovenska,2018-08-31,,,
maribor,Podravska,2018-08-31,,18.0,13.0
mb vrbanski,Podravska,2018-08-31,,18.0,6.0
miklavz,Podravska,2018-08-31,,20.0,
ptuj,Podravska,2018-08-31,,19.0,
ruse,Podravska,2018-08-31,,16.0,
ms cankarjeva,Pomurska,2018-08-31,,17.0,
ms rakican,Pomurska,2018-08-31,,17.0,8.0
pesje,Posavska,2018-08-31,3.0,20.0,
ce gaji,Savinjska,2018-08-31,9.0,19.0,8.0
ce mariborska,Savinjska,2018-08-31,,21.0,
celje,Savinjska,2018-08-31,5.0,19.0,17.0
skale,Savinjska,2018-08-31,2.0,18.0,4.0
sostanj,Savinjska,2018-08-31,3.0,19.0,10.0
sv. mohor,Savinjska,2018-08-31,5.0,,3.0
topolsica,Savinjska,2018-08-31,5.0,,
velenje,Savinjska,2018-08-31,4.0,18.0,
veliki vrh,Savinjska,2018-08-31,7.0,,
zavodnje,Savinjska,2018-08-31,4.0,,4.0
hrastnik,Zasavska,2018-08-31,2.0,18.0,
trbovlje,Zasavska,2018-08-31,4.0,18.0,10.0
zagorje,Zasavska,2018-08-31,5.0,28.0,13.0
kranj,Gorenjska,2018-09-30,,16.0,
gorenje polje,Goriška,2018-09-30,,11.0,
morsko,Goriška,2018-09-30,,9.0,
ng grcna,Goriška,2018-09-30,,19.0,
nova gorica,Goriška,2018-09-30,,15.0,19.0
iskrba,Jugovzhodna Slovenija,2018-09-30,2.0,21.0,1.0
novo mesto,Jugovzhodna Slovenija,2018-09-30,,16.0,
graska gora,Koroška,2018-09-30,3.0,,
zerjav,Koroška,2018-09-30,,18.0,
koper,Obalno-kraška,2018-09-30,,17.0,15.0
lj bezigrad,Osrednjeslovenska,2018-09-30,4.0,20.0,24.0
lj biotehniska,Osrednjeslovenska,2018-09-30,,16.0,
lj center,Osrednjeslovenska,2018-09-30,2.0,25.0,
lj gospodarsko,Osrednjeslovenska,2018-09-30,,19.0,
medvode,Osrednjeslovenska,2018-09-30,,6.0,
vnajnarje,Osrednjeslovenska,2018-09-30,,,
maribor,Podravska,2018-09-30,,18.0,11.0
mb vrbanski,Podravska,2018-09-30,,12.0,5.0
miklavz,Podravska,2018-09-30,,17.0,
ptuj,Podravska,2018-09-30,,15.0,
ruse,Podravska,2018-09-30,,11.0,
ms cankarjeva,Pomurska,2018-09-30,,18.0,
ms rakican,Pomurska,2018-09-30,,16.0,9.0
pesje,Posavska,2018-09-30,2.0,17.0,
ce gaji,Savinjska,2018-09-30,5.0,28.0,9.0
ce mariborska,Savinjska,2018-09-30,,21.0,
celje,Savinjska,2018-09-30,4.0,19.0,22.0
skale,Savinjska,2018-09-30,3.0,15.0,4.0
sostanj,Savinjska,2018-09-30,3.0,17.0,8.0
sv. mohor,Savinjska,2018-09-30,6.0,,5.0
topolsica,Savinjska,2018-09-30,4.0,,
velenje,Savinjska,2018-09-30,4.0,16.0,
veliki vrh,Savinjska,2018-09-30,3.0,,
zavodnje,Savinjska,2018-09-30,5.0,,4.0
hrastnik,Zasavska,2018-09-30,3.0,16.0,
trbovlje,Zasavska,2018-09-30,4.0,20.0,12.0
zagorje,Zasavska,2018-09-30,8.0,37.0,19.0
kranj,Gorenjska,2018-10-31,,16.0,
gorenje polje,Goriška,2018-10-31,,21.0,
morsko,Goriška,2018-10-31,,18.0,
ng grcna,Goriška,2018-10-31,,25.0,
nova gorica,Goriška,2018-10-31,,22.0,24.0
iskrba,Jugovzhodna Slovenija,2018-10-31,1.0,14.0,2.0
novo mesto,Jugovzhodna Slovenija,2018-10-31,,31.0,
graska gora,Koroška,2018-10-31,6.0,,
zerjav,Koroška,2018-10-31,,25.0,
koper,Obalno-kraška,2018-10-31,,21.0,17.0
lj bezigrad,Osrednjeslovenska,2018-10-31,6.0,33.0,30.0
lj biotehniska,Osrednjeslovenska,2018-10-31,,26.0,
lj center,Osrednjeslovenska,2018-10-31,2.0,41.0,42.0
lj gospodarsko,Osrednjeslovenska,2018-10-31,,29.0,
medvode,Osrednjeslovenska,2018-10-31,,19.0,
vnajnarje,Osrednjeslovenska,2018-10-31,,,
maribor,Podravska,2018-10-31,,30.0,11.0
mb vrbanski,Podravska,2018-10-31,,24.0,9.0
miklavz,Podravska,2018-10-31,,32.0,
ptuj,Podravska,2018-10-31,,30.0,
ruse,Podravska,2018-10-31,,22.0,
ms cankarjeva,Pomurska,2018-10-31,,33.0,
ms rakican,Pomurska,2018-10-31,,33.0,12.0
pesje,Posavska,2018-10-31,4.0,23.0,
ce gaji,Savinjska,2018-10-31,3.0,33.0,17.0
