Postaja,Regija,Leto,Mesec,NO2
eis celje,Savinjska,2000,Avg,46.0
ljubljana f.,Osrednjeslovenska,2000,Sep,49.0
maribor,Podravska,2000,Sep,60.0
celje,Savinjska,2000,Sep,36.0
trbovlje,Zasavska,2000,Sep,39.0
zavodnje,Savinjska,2000,Sep,25.0
skale,Savinjska,2000,Sep,12.0
kovk,Zasavska,2000,Sep,13.0
vnajnarje,Osrednjeslovenska,2000,Sep,8.0
eis celje,Savinjska,2000,Sep,61.0
ljubljana f.,Osrednjeslovenska,2000,Okt,43.0
maribor,Podravska,2000,Okt,68.0
celje,Savinjska,2000,Okt,34.0
trbovlje,Zasavska,2000,Okt,32.0
zavodnje,Savinjska,2000,Okt,10.0
skale,Savinjska,2000,Okt,14.0
kovk,Zasavska,2000,Okt,11.0
vnajnarje,Osrednjeslovenska,2000,Okt,11.0
eis celje,Savinjska,2000,Okt,75.0
ljubljana f.,Osrednjeslovenska,2000,Nov,61.0
maribor,Podravska,2000,Nov,64.0
celje,Savinjska,2000,Nov,46.0
trbovlje,Zasavska,2000,Nov,41.0
zavodnje,Savinjska,2000,Nov,26.0
skale,Savinjska,2000,Nov,15.0
kovk,Zasavska,2000,Nov,20.0
vnajnarje,Osrednjeslovenska,2000,Nov,20.0
eis celje,Savinjska,2000,Nov,
ljubljana f.,Osrednjeslovenska,2000,Dec,53.0
maribor,Podravska,2000,Dec,57.0
celje,Savinjska,2000,Dec,51.0
trbovlje,Zasavska,2000,Dec,34.0
zavodnje,Savinjska,2000,Dec,31.0
skale,Savinjska,2000,Dec,21.0
kovk,Zasavska,2000,Dec,20.0
vnajnarje,Osrednjeslovenska,2000,Dec,22.0
eis celje,Savinjska,2000,Dec,
ljubljana f.,Osrednjeslovenska,2001,Jan,36.0
maribor,Podravska,2001,Jan,28.0
celje,Savinjska,2001,Jan,26.0
trbovlje,Zasavska,2001,Jan,
zavodnje,Savinjska,2001,Jan,5.0
skale,Savinjska,2001,Jan,6.0
kovk,Zasavska,2001,Jan,7.0
vnajnarje,Osrednjeslovenska,2001,Jan,7.0
eis celje,Savinjska,2001,Jan,50.0
ljubljana f.,Osrednjeslovenska,2001,Feb,40.0
maribor,Podravska,2001,Feb,30.0
celje,Savinjska,2001,Feb,25.0
trbovlje,Zasavska,2001,Feb,
zavodnje,Savinjska,2001,Feb,5.0
skale,Savinjska,2001,Feb,6.0
kovk,Zasavska,2001,Feb,6.0
vnajnarje,Osrednjeslovenska,2001,Feb,7.0
eis celje,Savinjska,2001,Feb,
ljubljana f.,Osrednjeslovenska,2001,Mar,38.0
maribor,Podravska,2001,Mar,31.0
celje,Savinjska,2001,Mar,20.0
trbovlje,Zasavska,2001,Mar,
zavodnje,Savinjska,2001,Mar,4.0
skale,Savinjska,2001,Mar,5.0
kovk,Zasavska,2001,Mar,8.0
vnajnarje,Osrednjeslovenska,2001,Mar,5.0
eis celje,Savinjska,2001,Mar,36.0
ljubljana f.,Osrednjeslovenska,2001,Apr,
maribor,Podravska,2001,Apr,48.0
celje,Savinjska,2001,Apr,19.0
trbovlje,Zasavska,2001,Apr,
zavodnje,Savinjska,2001,Apr,3.0
skale,Savinjska,2001,Apr,5.0
kovk,Zasavska,2001,Apr,6.0
vnajnarje,Osrednjeslovenska,2001,Apr,4.0
eis celje,Savinjska,2001,Apr,32.0
ljubljana f.,Osrednjeslovenska,2001,Maj,28.0
maribor,Podravska,2001,Maj,
celje,Savinjska,2001,Maj,15.0
trbovlje,Zasavska,2001,Maj,
zavodnje,Savinjska,2001,Maj,7.0
skale,Savinjska,2001,Maj,5.0
kovk,Zasavska,2001,Maj,5.0
vnajnarje,Osrednjeslovenska,2001,Maj,4.0
eis celje,Savinjska,2001,Maj,35.0
ljubljana f.,Osrednjeslovenska,2001,Jun,21.0
maribor,Podravska,2001,Jun,
celje,Savinjska,2001,Jun,17.0
trbovlje,Zasavska,2001,Jun,
zavodnje,Savinjska,2001,Jun,5.0
skale,Savinjska,2001,Jun,3.0
kovk,Zasavska,2001,Jun,5.0
vnajnarje,Osrednjeslovenska,2001,Jun,3.0
eis celje,Savinjska,2001,Jun,35.0
ljubljana f.,Osrednjeslovenska,2001,Jul,28.0
maribor,Podravska,2001,Jul,
celje,Savinjska,2001,Jul,19.0
trbovlje,Zasavska,2001,Jul,
zavodnje,Savinjska,2001,Jul,2.0
skale,Savinjska,2001,Jul,6.0
kovk,Zasavska,2001,Jul,5.0
vnajnarje,Osrednjeslovenska,2001,Jul,3.0
eis celje,Savinjska,2001,Jul,31.0
ljubljana f.,Osrednjeslovenska,2001,Avg,25.0
maribor,Podravska,2001,Avg,37.0
celje,Savinjska,2001,Avg,20.0
trbovlje,Zasavska,2001,Avg,
zavodnje,Savinjska,2001,Avg,7.0
skale,Savinjska,2001,Avg,7.0
kovk,Zasavska,2001,Avg,3.0
vnajnarje,Osrednjeslovenska,2001,Avg,2.0
eis celje,Savinjska,2001,Avg,31.0
ljubljana f.,Osrednjeslovenska,2001,Sep,
maribor,Podravska,2001,Sep,42.0
celje,Savinjska,2001,Sep,23.0
trbovlje,Zasavska,2001,Sep,
zavodnje,Savinjska,2001,Sep,5.0
skale,Savinjska,2001,Sep,4.0
kovk,Zasavska,2001,Sep,2.0
vnajnarje,Osrednjeslovenska,2001,Sep,5.0
eis celje,Savinjska,2001,Sep,
ljubljana f.,Osrednjeslovenska,2001,Okt,
maribor,Podravska,2001,Okt,47.0
celje,Savinjska,2001,Okt,25.0
trbovlje,Zasavska,2001,Okt,
zavodnje,Savinjska,2001,Okt,11.0
skale,Savinjska,2001,Okt,7.0
kovk,Zasavska,2001,Okt,5.0
vnajnarje,Osrednjeslovenska,2001,Okt,5.0
eis celje,Savinjska,2001,Okt,
ljubljana f.,Osrednjeslovenska,2001,Nov,56.0
maribor,Podravska,2001,Nov,43.0
celje,Savinjska,2001,Nov,40.0
trbovlje,Zasavska,2001,Nov,
zavodnje,Savinjska,2001,Nov,8.0
skale,Savinjska,2001,Nov,3.0
kovk,Zasavska,2001,Nov,9.0
vnajnarje,Osrednjeslovenska,2001,Nov,7.0
eis celje,Savinjska,2001,Nov,39.0
ljubljana f.,Osrednjeslovenska,2001,Dec,58.0
maribor,Podravska,2001,Dec,47.0
celje,Savinjska,2001,Dec,53.0
trbovlje,Zasavska,2001,Dec,
zavodnje,Savinjska,2001,Dec,13.0
skale,Savinjska,2001,Dec,16.0
kovk,Zasavska,2001,Dec,11.0
vnajnarje,Osrednjeslovenska,2001,Dec,8.0
eis celje,Savinjska,2001,Dec,52.0
