Postaja,Leto,PM10 - Dnevnih presežkov
skale,2018,3.0
sostanj,2018,4.0
lj center,2018,51.0
medvode,2018,7.0
ce gaji,2018,43.0
mb vrbanski,2018,12.0
morsko,2018,3.0
gorenje polje,2018,3.0
miklavz,2018,35.0
ptuj,2018,25.0
ruse,2018,15.0
lj bezigrad,2019,16.0
lj biotehniska,2019,8.0
lj gospodarsko,2019,21.0
maribor,2019,13.0
celje,2019,23.0
ce mariborska,2019,43.0
ms rakican,2019,14.0
ms cankarjeva,2019,28.0
nova gorica,2019,10.0
ng grcna,2019,10.0
trbovlje,2019,16.0
zagorje,2019,28.0
hrastnik,2019,9.0
koper,2019,8.0
iskrba,2019,2.0
zerjav,2019,1.0
kranj,2019,8.0
novo mesto,2019,10.0
velenje,2019,2.0
pesje,2019,1.0
skale,2019,1.0
sostanj,2019,1.0
lj center,2019,37.0
medvode,2019,2.0
ce gaji,2019,25.0
morsko,2019,5.0
gorenje polje,2019,7.0
miklavz,2019,31.0
ptuj,2019,15.0
ruse,2019,11.0
ce bolnica,2020,23.0
ce mariborska,2020,34.0
hrastnik,2020,7.0
koper,2020,17.0
kranj,2020,8.0
lj bezigrad,2020,18.0
lj biotehniska,2020,22.0
lj celovska,2020,3.0
lj gospodarsko,2020,16.0
mb titova,2020,15.0
mb vrbanski,2020,3.0
ms rakican,2020,11.0
ms cankarjeva,2020,19.0
ng grcna,2020,14.0
ng vojkova,2020,16.0
novo mesto,2020,10.0
ptuj,2020,14.0
trbovlje,2020,18.0
zagorje,2020,24.0
zerjav,2020,5.0
pesje,2020,2.0
skale,2020,2.0
sostanj,2020,2.0
lj center,2020,37.0
medvode,2020,2.0
ce gaji,2020,17.0
mb tezno,2020,9.0
morsko,2020,7.0
gorenje polje,2020,9.0
miklavz,2020,24.0
spuhlja,2020,25.0
ruse,2020,12.0
grosuplje,2020,32.0
ce bolnica,2021,18.0
ce mariborska,2021,16.0
ce ljubljanska,2021,9.0
deskle,2021,4.0
hrastnik,2021,8.0
iskrba,2021,1.0
koper,2021,8.0
kranj,2021,6.0
lj bezigrad,2021,12.0
lj biotehniska,2021,4.0
lj celovska,2021,15.0
lj vic,2021,8.0
mb titova,2021,13.0
mb vrbanski,2021,4.0
ms cankarjeva,2021,29.0
ms rakican,2021,14.0
ng grcna,2021,6.0
ng vojkova,2021,12.0
novo mesto,2021,3.0
ptuj,2021,13.0
trbovlje nasipi,2021,5.0
trbovlje park,2021,5.0
velenje,2021,5.0
zagorje,2021,14.0
zerjav,2021,6.0
mobilna tes,2021,1.0
pesje,2021,4.0
skale,2021,4.0
sostanj,2021,2.0
lj center,2021,30.0
zadobrova,2021,8.0
medvode,2021,9.0
ce gaji,2021,6.0
mb tezno,2021,11.0
morsko,2021,4.0
gorenje polje,2021,7.0
miklavz,2021,18.0
spuhlja,2021,20.0
ruse,2021,3.0
grosuplje,2021,22.0
slovenj gradec,2021,5.0
ce bolnica,2022,13.0
ce ljubljanska,2022,13.0
hrastnik,2022,1.0
koper,2022,12.0
kranj,2022,5.0
lj bezigrad,2022,11.0
lj celovska,2022,11.0
lj vic,2022,11.0
mb titova,2022,3.0
ms cankarjeva,2022,39.0
ms rakican,2022,10.0
ng grcna,2022,9.0
ng vojkova,2022,10.0
ptuj,2022,9.0
trbovlje,2022,8.0
zagorje,2022,11.0
zerjav,2022,2.0
lj center,2022,27.0
zadobrova,2022,1.0
medvode,2022,5.0
