Postaja,Leto,Mesec,SO2
lj biotehnicna fak.,2000,Dec,48.0
kranj,2000,Dec,45.0
novo mesto,2000,Dec,51.0
velenje,2000,Dec,28.0
vrbanski plato,2000,Dec,30.0
sostanj,2000,Dec,20.0
pesje,2000,Dec,26.0
skale,2000,Dec,20.0
kovk,2000,Dec,15.0
dobovec,2000,Dec,10.0
prapretno,2000,Dec,25.0
lj center,2000,Dec,65.0
vnajnarje,2000,Dec,28.0
zelena trava,2000,Dec,21.0
amp gaji,2000,Dec,46.0
ljubljana f.,2001,Jan,12.0
ljubljana b.,2001,Jan,12.0
maribor,2001,Jan,14.0
celje,2001,Jan,14.0
trbovlje,2001,Jan,11.0
hrastnik,2001,Jan,16.0
zagorje,2001,Jan,9.0
sostanj,2001,Jan,28.0
topolsica,2001,Jan,4.0
veliki vrh,2001,Jan,45.0
zavodnje,2001,Jan,12.0
velenje,2001,Jan,5.0
graska gora,2001,Jan,11.0
skale,2001,Jan,10.0
kovk,2001,Jan,23.0
dobovec,2001,Jan,16.0
kum,2001,Jan,8.0
ravenska vas,2001,Jan,11.0
vnajnarje,2001,Jan,8.0
eis celje,2001,Jan,
eis krsko,2001,Jan,24.0
ljubljana f.,2001,Feb,12.0
ljubljana b.,2001,Feb,12.0
maribor,2001,Feb,12.0
celje,2001,Feb,18.0
trbovlje,2001,Feb,15.0
hrastnik,2001,Feb,19.0
zagorje,2001,Feb,22.0
sostanj,2001,Feb,32.0
topolsica,2001,Feb,9.0
veliki vrh,2001,Feb,42.0
zavodnje,2001,Feb,20.0
velenje,2001,Feb,5.0
graska gora,2001,Feb,14.0
skale,2001,Feb,13.0
kovk,2001,Feb,71.0
dobovec,2001,Feb,56.0
kum,2001,Feb,16.0
ravenska vas,2001,Feb,41.0
vnajnarje,2001,Feb,9.0
eis celje,2001,Feb,17.0
eis krsko,2001,Feb,65.0
ljubljana f.,2001,Mar,8.0
ljubljana b.,2001,Mar,10.0
maribor,2001,Mar,10.0
celje,2001,Mar,18.0
trbovlje,2001,Mar,10.0
hrastnik,2001,Mar,22.0
zagorje,2001,Mar,11.0
sostanj,2001,Mar,97.0
topolsica,2001,Mar,5.0
veliki vrh,2001,Mar,23.0
zavodnje,2001,Mar,14.0
velenje,2001,Mar,4.0
graska gora,2001,Mar,24.0
skale,2001,Mar,17.0
kovk,2001,Mar,93.0
dobovec,2001,Mar,28.0
kum,2001,Mar,12.0
ravenska vas,2001,Mar,53.0
vnajnarje,2001,Mar,11.0
eis celje,2001,Mar,
eis krsko,2001,Mar,49.0
ljubljana f.,2001,Apr,9.0
ljubljana b.,2001,Apr,9.0
maribor,2001,Apr,8.0
celje,2001,Apr,10.0
trbovlje,2001,Apr,8.0
hrastnik,2001,Apr,19.0
zagorje,2001,Apr,16.0
sostanj,2001,Apr,43.0
topolsica,2001,Apr,10.0
veliki vrh,2001,Apr,43.0
zavodnje,2001,Apr,14.0
velenje,2001,Apr,4.0
graska gora,2001,Apr,16.0
skale,2001,Apr,10.0
kovk,2001,Apr,42.0
dobovec,2001,Apr,40.0
kum,2001,Apr,8.0
ravenska vas,2001,Apr,57.0
vnajnarje,2001,Apr,8.0
eis celje,2001,Apr,4.0
eis krsko,2001,Apr,56.0
ljubljana f.,2001,Maj,7.0
ljubljana b.,2001,Maj,10.0
maribor,2001,Maj,7.0
celje,2001,Maj,9.0
trbovlje,2001,Maj,9.0
hrastnik,2001,Maj,17.0
zagorje,2001,Maj,24.0
sostanj,2001,Maj,55.0
topolsica,2001,Maj,14.0
veliki vrh,2001,Maj,41.0
zavodnje,2001,Maj,22.0
velenje,2001,Maj,4.0
graska gora,2001,Maj,15.0
skale,2001,Maj,10.0
kovk,2001,Maj,34.0
dobovec,2001,Maj,31.0
kum,2001,Maj,5.0
ravenska vas,2001,Maj,82.0
vnajnarje,2001,Maj,9.0
eis celje,2001,Maj,3.0
eis krsko,2001,Maj,55.0
ljubljana f.,2001,Jun,14.0
ljubljana b.,2001,Jun,8.0
maribor,2001,Jun,5.0
celje,2001,Jun,4.0
trbovlje,2001,Jun,5.0
hrastnik,2001,Jun,15.0
zagorje,2001,Jun,8.0
sostanj,2001,Jun,77.0
topolsica,2001,Jun,10.0
veliki vrh,2001,Jun,34.0
zavodnje,2001,Jun,16.0
velenje,2001,Jun,4.0
graska gora,2001,Jun,12.0
